ESRRA
ARF3
GUK1
CLTC
UBE2D3
PTTG1IP
SF3B3
GSN
ODC1
H2AFZ
TAGLN2
RAB14
DEK
RAD23A
GOLGB1
CSE1L
FBXO7
PCNA
ERP29
SLC2A1
SRP9
SDC1
TOP2A
EIF4A3
ENC1
BAZ2A
TMEM109
ITGA5
NPEPPS
BUB3
VBP1
RRM1
APOD
RPA1
MCM3
SMC1A
OAT
ICMT
PRDX3
DNMT1
PGRMC2
MYBL2
TUBG1
TMEM106C
NCAPD2
SLC29A1
EPCAM
RRM2
CKS1B
MCM6
TWF2
BIRC5
PRMT2
MCM2
AP2S1
PLIN3
TRAK2
UBAC1
KIF22
BLVRB
SLC6A8
E2F4
COL1A1
UNG
TK1
MXI1
USP1
MPC2
IDS
HDAC5
PFKFB3
CTNNAL1
PCLAF
SSFA2
MLH1
DHFR
SYF2
FOXM1
AK1
TYMS
ACTL6A
CCNB2
UMPS
HIST2H2BE
LIG1
MAPKAPK3
HEXIM1
CDC20
PPP2R1B
FHL2
UBE2C
FAM13A
HLTF
RNASEH2A
HMBS
TIMELESS
TCTA
PPM1F
PDHX
CDYL
FECH
SLC11A2
HAT1
SPAG5
FBN2
RFC5
CDK1
NSMAF
DTYMK
LMNB1
DCK
STX5
MAD2L1
TF
CCNA2
TMPO
NDUFC1
BPGM
PTTG1
GGH
FANCG
SKP2
CXCL12
MPHOSPH6
BUB1B
ST3GAL4
DLGAP5
GAB2
VRK1
VCAM1
CXADR
GCLM
MPO
PPP1R26
CDC6
CHAF1A
KRAS
LCMT2
RFC4
ZWINT
TRIP13
STK3
AURKA
CCL4
CDC45
RFC3
RAD51AP1
TFDP1
CDKN2C
NDC80
CPOX
GMPR
SMC2
ELOVL6
ATP1B2
APOC1
POLA2
KIF11
SNCA
BRPF1
PDE4D
C15orf39
HIRIP3
DMTN
CDC7
BRCA1
RAD54L
IRF4
ABCG1
PPP2R5B
NR4A2
NEK2
CCNT2
TROAP
HHEX
PLA2G6
KIF23
DNAJC6
RIMS3
MAP2K5
FEN1
PPOX
GPRASP1
DUSP2
ESPL1
TTK
MELK
CCNF
POLA1
MRPL58
PLK4
C6orf47
AMMECR1
HAGH
ZBTB48
CCNE2
CENPE
ARID4A
GEMIN2
ORC1
CDC25C
IL1RAP
PAFAH2
AREG
KCNH2
ADD2
RBL1
CD79B
STIL
BARD1
ACHE
ANK1
CHEK1
ATXN3
SNAPC1
ATF2
SLC4A1
PIP5K1B
ALAS1
SNRPG
BLM
ADAM17
MYOM2
GYPA
SLC14A1
SPIB
KRT1
PNOC
POLE2
CTSE
BATF
NMU
KEL
GINS1
FUT1
CXCR5
RHAG
BLK
TAL1
KNTC1
KIF14
METTL13
NUP155
RAG1
RASA2
TNFRSF17
TFE3
IGLL1
BCL2L1
AQP2
XK
GPT
HBD
ELANE
SPTA1
SCARF1
PI4KA
HMMR
KCNA3
STAU1
TFRC
PRTN3
GYPB
AQP1
RPGR
CREM
POLQ
PSMD9
GYPE
PKLR
CD40LG
KRT13
GATA2
ANP32E
TBXAS1
DDX11
ACKR1
SPTB
GFI1B
PTTG3P
HIST1H2BE
HIST1H2BH
H2BFS
HIST1H2AJ
CD24
CLIC1
HMGN2
PRKDC
NRDC
MCM7
HMGB2
NEU1
SEPHS1
DUT
ERP44
UROD
UBC
PINK1
ABI1
NSD2
SH3GLB1
RGL2
TUBA1A
IGLC1
NT5C2
PRPF4
MBOAT7
EMG1
CA2
IGHM
DDIT3
HIST1H1C
KIF2C
MSH2
PHKA2
AURKB
MKNK1
CENPX
RPA3
EED
MINPP1
