HSPA6
PRPF8
RPL35
EIF3D
SRP14
RPL24
HNRNPC
RPS27A
FAU
TARDBP
RPL18
EIF3F
RPS5
STARD7
SLC25A3
RPL6
RPL10A
CBX3
PSMB2
KHDRBS1
RTCB
ERH
ILF2
SPAG7
ZPR1
NONO
RHOA
RNPS1
RPS24
NPM1
HSP90AB1
HNRNPM
RPL14
OAZ1
ATP6V0B
KARS
RPS6
RPS7
USP22
C11orf58
FNTA
HINT1
EEF2
RPS10
ATP6V0E1
ANAPC5
MSN
PRKAR1A
NCL
AP2B1
AP2M1
MLEC
PTGES3
WARS
UBB
SOD1
GABARAP
GLUL
SSR2
SLC25A5
PHB
S100A11
TOMM20
XBP1
LAPTM4A
RPL32
GRN
HMGB1
GLO1
YWHAQ
PPP2R1A
NPC2
DYNLL1
PRKCSH
GOT2
SKP1
CAPRIN1
FTH1
RAN
RPLP1
FAM120A
ATF4
RPS15A
ANXA5
STMN1
LRP1
PSMB7
IQGAP1
XRCC6
ACO2
DAZAP2
ACTB
TMBIM6
HSPD1
ZYX
RPL12
CCT7
ATP5PO
RPS15
PSMD8
RPL29
HYOU1
SNRPD2
RPS21
EPRS
PRDX6
GNB2
PSAP
CCT8
PSMB1
CCT4
FKBP4
HDGF
MGEA5
AHCY
CCT3
TACC1
PPM1G
BTG1
KDELR1
COX6A1
RPS23
DCTN2
RPS4X
HMGN1
IMMT
SSRP1
SDCBP
FUS
CLTA
RPL31
PPT1
MDH1
PDHA1
HIF1A
TRIM28
IPO7
ACTR3
CKAP4
AARS
HADHB
TXNIP
RPN1
PAICS
JUP
EIF1AX
YWHAH
EIF5B
CD99
LDHB
RPLP0
ADD3
PFKP
GNAI2
DUSP1
RPS18
HNRNPA0
RCN1
CYC1
MMP2
SMARCC1
SNU13
ATP6V1B2
TUBA1B
RBBP7
RPS29
TUFM
POLD2
PGD
MGAT1
SRSF7
PJA2
COX7C
ECHS1
HLA-DPB1
SSB
EIF2S1
HAX1
NUDC
TMX2
CHD4
PITPNA
SLC7A5
AMD1
PSMD1
HDAC1
NDUFB8
BTG2
CAPZA2
SPCS2
DDX1
ATP1B1
SREBF2
BAG6
RPS16
SYPL1
TARS
COPE
PSMA5
FDPS
HNRNPAB
OGDH
APEH
MKRN1
ARHGDIB
PPIA
MOB1A
SEPT11
NREP
STK25
ATP5F1B
EMP1
CCT6A
VAMP3
GTF3A
SNRPC
GRHPR
YME1L1
CST3
TPD52L2
CACYBP
PSMD3
CSNK2B
TRAP1
IGF2R
PHGDH
TRAM1
NAP1L4
SOX4
WDR77
SELENOP
RPL37A
PTDSS1
COX6B1
RUVBL2
SQSTM1
JUNB
RCN2
AHSA1
RPL41
PRCP
GRSF1
G3BP1
TSN
TGFBI
TOMM70
SRM
NCBP2
ZFP36
PSMA3
UBL3
FHL1
CLIC4
CLSTN1
FSCN1
GOLGA4
SAMM50
NME1
TXNL1
EIF3H
KRT18
PHB2
PWP1
RUVBL1
GPAA1
DARS
ACP1
IER3
IFNGR2
KDM3B
SMC4
RPS17
MARCKS
AKAP1
PSMA1
SIGMAR1
PSMC6
SNX1
LAPTM5
ELAVL1
MARCH6
SGK1
NDUFS3
CD14
TP53
MCM5
SNRPA
SCAMP3
ADNP
EFCAB14
RNF13
DHCR7
LBR
MYOF
VPS26A
LPCAT1
SCCPDH
NET1
USO1
HDAC2
HSPB1
SRGN
ABCE1
PPP2R5C
IL13RA1
B2M
IMPDH2
AKR1A1
GSPT1
NSA2
LRRC41
CHMP1A
CDK2AP1
CPD
HEXB
CCT2
ARPC1B
CCNC
GNPAT
ACSL1
NDUFS2
NASP
ATP6V1A
CLIP1
PPP5C
CREBL2
HNRNPDL
MORF4L2
PTPN12
MEST
LANCL1
ACAA1
HARS
ZMYM4
KPNA1
SEL1L
PLTP
NDUFAB1
COPS3
TSPO
IGBP1
ARFIP2
NOC2L
CHMP2A
ABL1
PRPF4B
ACTR1B
ZMYND11
