,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
BAGE,0.130297132647356,3.217137146625,1.47341653938487,0.1476057211118,0.276465381901187,-5.83085301767999,Not
POMZP3,0.455255863509196,5.42184664041508,1.47325562795214,0.147648926043945,0.276504549256085,-5.83108181146951,Not
SERPINF2,-0.0395919726067295,2.35069754750475,-1.47264818697064,0.147812114790647,0.276729241799209,-5.83194530422285,Not
BUB3,-0.377492642452582,7.15255993696433,-1.47264291712505,0.147813531155346,0.276729241799209,-5.83195279402877,Not
ZNF536,0.0632784157335333,2.23897968226053,1.47157930307284,0.148099615815788,0.27722299048645,-5.83346396551465,Not
CBR1,0.257332159595315,5.73887957934205,1.47143135248965,0.148139445310461,0.277255702457469,-5.83367409365578,Not
LIF,0.302472039795252,4.42462095793105,1.47132249664593,0.148168755585186,0.277268719903902,-5.83382868490469,Not
KLHL35,-0.023614006739122,2.62291120641033,-1.47055773047938,0.148374803872906,0.277612414004474,-5.83491447241121,Not
SLCO2A1,0.141113298198917,3.43606924841134,1.46999360916703,0.148526938032626,0.277855145161185,-5.83571506332631,Not
PDE7B,0.141016091144832,3.47632654072351,1.46940937506552,0.148684626040093,0.278073708337215,-5.83654390415452,Not
AK6,0.403429491688823,7.2833066738176,1.46939461967493,0.148688610311409,0.278073708337215,-5.83656483345106,Not
ECHDC1,-0.301975070903421,6.32982025790455,-1.46871283842288,0.148872797753719,0.278376196372587,-5.8375316755635,Not
TRAF2,0.0789907316408667,3.36166636758152,1.46808455254052,0.149042692449823,0.278641402856805,-5.83842229472253,Not
AASS,0.130689801675299,3.11808683155503,1.46802221005056,0.149059558812779,0.278641402856805,-5.83851064871478,Not
AMFR,-0.372602655099277,4.69391378729484,-1.46784424571447,0.149107714213616,0.278689418232592,-5.83876284736113,Not
SOS1,-0.289579628379928,5.32836148071909,-1.46751068166417,0.149198006428887,0.278816162985911,-5.83923547631945,Not
ALS2CL,0.174912705437801,5.9232747603587,1.46705841144394,0.149320500014393,0.278973276361422,-5.83987614506675,Not
BAD,0.0411440567349766,1.63073304122011,1.4670341821163,0.14932706456208,0.278973276361422,-5.83991046234976,Not
ZNHIT2,0.0460109147850343,2.46082216802242,1.46684678720197,0.149377843897348,0.278999075547555,-5.84017586233869,Not
TRMT112,0.209776045561895,10.0087178780041,1.46678309417521,0.149395106215687,0.278999075547555,-5.84026606124016,Not
F2RL3,-0.0171044786596766,2.67493826266814,-1.4667342041472,0.149408357638221,0.278999075547555,-5.84033529445806,Not
MTCH2,0.265198034963283,7.98763233013927,1.46626206564591,0.149536376369291,0.279196097562594,-5.8410037824684,Not
ARMCX5,0.256005047772056,5.41258922777887,1.46588605485279,0.149638392270247,0.279344518261269,-5.84153602612508,Not
RNASEH1,0.169852907294171,7.96323662530299,1.46550505756088,0.149741817033728,0.279495523953247,-5.84207520177278,Not
EGFL6,0.0324925991272829,2.36440485765761,1.46513912897244,0.149841204333622,0.279608560037174,-5.8425929328593,Not
EFNB3,0.110267018421756,2.37523243286956,1.46511608749637,0.149847464207619,0.279608560037174,-5.84262552897588,Not
ZNF165,0.184109763578726,2.88893789225238,1.46481087337731,0.149930403782174,0.279721239186267,-5.84305726273644,Not
NOTCH4,0.127240151748618,5.81002920275849,1.46462909791071,0.149979817051299,0.279771344696535,-5.84331435032616,Not
FERMT1,0.216972812254327,2.25922554129042,1.46449126362498,0.150017294046,0.27979917263948,-5.84350927197643,Not
TG,0.109865461212979,2.30531438503125,1.46400027172325,0.150150854207022,0.280006171211803,-5.84420348455901,Not
PDZD7,0.049851508897476,3.8035730562038,1.46364572421519,0.150247356875232,0.280144011924759,-5.84470464722299,Not
ELK3,0.0816681285021041,3.08429071198607,1.46287092715398,0.150458415482345,0.280495374602062,-5.84579946053666,Not
TSPAN2,0.229805069427823,4.82447673148879,1.46260238871627,0.150531621195918,0.280563280656159,-5.84617879117804,Not
FRAS1,0.0889580776376793,3.55762590500204,1.46257136008883,0.150540081654982,0.280563280656159,-5.84622261736028,Not
TACR1,0.0585124848049281,3.22451625084986,1.46237684285078,0.150593128475248,0.280611378072495,-5.84649734272287,Not
LUZP4,-0.0420641411295093,2.16418201455129,-1.46231081628236,0.150611137936676,0.280611378072495,-5.846590587443,Not
TFR2,-0.0928385803826299,2.9015550605017,-1.46220008037011,0.150641346165244,0.280619905405475,-5.84674696346838,Not
PRLR,0.0627060536823896,2.96649151881963,1.46212817157875,0.150660965096755,0.280619905405475,-5.8468485039072,Not
DCXR,0.350446510973256,7.45154167147011,1.46133207887491,0.1508782982188,0.2809825124336,-5.84797234157491,Not
NUP54,0.168626332132813,3.57718705789708,1.4610431301875,0.150957242200123,0.281087325477875,-5.84838011059086,Not
ATF7,0.0186881008282467,2.3259240630642,1.45999403866034,0.151244139150699,0.281579264167836,-5.84985998954522,Not
TIA1,0.187164746714185,7.56260856443037,1.45981565659852,0.151292964297899,0.281608315890753,-5.850111524392,Not
UBL4A,-0.236442566923315,6.61423034649592,-1.4597711310926,0.151305153357734,0.281608315890753,-5.85017430502901,Not
ABCB4,-0.0398521516180277,2.12158890104178,-1.45917980982808,0.151467103579617,0.281811924120866,-5.85100789869345,Not
SPPL2B,-0.0394864076957919,2.33160574562364,-1.45916315332184,0.151471667415244,0.281811924120866,-5.85103137515399,Not
GRM7,0.0280729744224169,2.73140568950747,1.45912283960627,0.151482713707475,0.281811924120866,-5.85108819418629,Not
DLD,0.208762619132152,9.11918984855571,1.45901043350546,0.151513517260434,0.281826957795615,-5.85124661426935,Not
ATG16L1,0.28124735186154,5.95082852451325,1.45885884476239,0.151555066158933,0.281861971145485,-5.85146023903698,Not
LRIG2,0.145085996434796,6.36966294969701,1.45849570181492,0.151654636347032,0.281997624133903,-5.85197191220465,Not
NUP85,-0.26407874281268,6.42441045543614,-1.45842700457365,0.151673478238915,0.281997624133903,-5.85206869449698,Not
DAXX,-0.239269059604989,5.93061413148913,-1.45810895516835,0.151760735051446,0.282117565474083,-5.85251671600633,Not
CRKL,0.246224908798857,4.4445536778981,1.45801217857919,0.151787293534978,0.282124651837904,-5.85265302309756,Not
REST,0.182126167440805,5.09546158356556,1.45789660468008,0.151819015373544,0.282141331686855,-5.85281579489626,Not
HSD11B1,0.147133031054267,2.61183535745516,1.45763719115974,0.151890236209445,0.282231400704981,-5.85318110463036,Not
PMFBP1,0.0722831587158046,2.48501401416474,1.45702987406043,0.152057075274124,0.282491324654827,-5.85403610596329,Not
SORCS3,0.0790946162644244,2.7238966611712,1.45696220754087,0.152075673201667,0.282491324654827,-5.85413134910263,Not
ZBTB48,0.186671511267308,6.0682146901481,1.45667033079704,0.152155915108599,0.282584703828437,-5.8545421303867,Not
DCC,0.0466491683492798,2.13404235849558,1.45661361954417,0.152171509866172,0.282584703828437,-5.85462193595004,Not
GUCY2D,-0.01617396553101,1.81641231545177,-1.45643618397685,0.152220310151443,0.282617279327904,-5.85487160969579,Not
SOWAHC,-0.150423166195012,2.68177123244667,-1.45638414747506,0.152234624138493,0.282617279327904,-5.85494482623432,Not
TAF12,-0.213859123473859,6.55355713865863,-1.45622547415026,0.152278277882633,0.282656013256255,-5.85516806852187,Not
FAM120C,0.0388189438784292,3.40095591184918,1.45584762119471,0.152382271339992,0.282806720249877,-5.85569959222758,Not
PAFAH1B2,0.0659170156841964,3.77610485737806,1.45562518423706,0.152443517011644,0.282878058272804,-5.85601243445734,Not
DOCK5,0.0715995098176072,3.08043942586481,1.4549841320068,0.152620132306445,0.283163425728771,-5.85691378708983,Not
SI,0.0422109869471163,3.14250060741101,1.45451979946768,0.152748160310558,0.283328041919866,-5.85756643726482,Not
RAD54B,0.123498663532093,3.59953515147962,1.45449665301534,0.152754544571325,0.283328041919866,-5.85759896618261,Not
KIF18B,-0.49208400173143,4.19714192092391,-1.4544077235531,0.15277907507167,0.283331170471579,-5.85772393902041,Not
C16orf45,0.181917684485398,3.25923208312806,1.45430350605004,0.152807826601557,0.283342124882511,-5.85787038734581,Not
PROX1,0.0273198700512012,2.43388092625611,1.45296508540993,0.153177448474014,0.283985036386129,-5.85975031210482,Not
KCNJ1,0.0206899764671893,2.80201204629993,1.45281400703743,0.153219214796729,0.284016731012895,-5.85996241556765,Not
BMP2,0.295413442610578,3.26421971530265,1.45273759680945,0.153240342170305,0.284016731012895,-5.86006968254329,Not
BDKRB1,0.0324449238727751,2.23846294095041,1.45251039904701,0.15330317571793,0.284090734861719,-5.86038859928525,Not
SLC39A8,0.0746398138608768,3.56954899002242,1.45186009922015,0.153483133819964,0.284381731217361,-5.86130117223847,Not
EVC,0.0589771739508409,4.80729604909919,1.45149465712794,0.153584335806031,0.284526738909963,-5.86181383805425,Not
MAP3K8,-0.460648072697714,5.77328699029042,-1.45140832521423,0.153608251384154,0.284528545686628,-5.86193493290869,Not
GCGR,-0.0196354185234993,1.92385457609545,-1.45120023652686,0.153665907926761,0.284592840975903,-5.86222678494381,Not
PLEKHS1,0.0314997013750014,3.11932015711617,1.45107248420438,0.153701313552586,0.284615914003094,-5.8624059434163,Not
ETV1,0.0718290052527668,2.6813015008502,1.45001864050969,0.153993623242954,0.285114503249408,-5.86388329505466,Not
DIO2,0.0215870732557102,2.36336310494633,1.44993607918766,0.154016542108444,0.285114503249408,-5.86399899403431,Not
ALDH1L1,-0.0747392641044469,4.07035318367425,-1.44910811238898,0.154246532315987,0.285497648159258,-5.8651589506243,Not
KCNQ3,0.0532572320323945,3.22683711290353,1.44863944261393,0.154376837549594,0.285696197572011,-5.865815275695,Not
TMEM143,0.0368237297415264,3.22060951857745,1.44838642632276,0.154447220119851,0.285783808913398,-5.86616951937149,Not
GRID2,-0.0139785276981956,2.23714866620109,-1.44830154745928,0.154470836861996,0.285784873150259,-5.86628834416914,Not
GLT8D1,0.173038112265328,7.57259171698505,1.44818833380764,0.154502341904982,0.285800528955629,-5.86644682593459,Not
ZNF10,0.270669482534315,2.88794884549796,1.44766798034176,0.154647210522185,0.286002817646394,-5.86717509607036,Not
KIAA1549L,0.0814848788597953,2.71382179937942,1.44762989980429,0.15465781649233,0.286002817646394,-5.86722838302504,Not
MST1,0.0457555851026448,2.47429366649151,1.44741271304864,0.15471831700323,0.286032534564024,-5.86753227296502,Not
THBS2,0.0704834807159251,2.91726299457609,1.44735792897131,0.154733580834232,0.286032534564024,-5.86760892085555,Not
SNRPG,0.285675906513346,10.3442126228927,1.44732387032292,0.154743070783246,0.286032534564024,-5.86765657066127,Not
FAM163A,-0.0214840075314298,2.50264162356692,-1.4466351761408,0.154935063491546,0.286344746309886,-5.86861987039859,Not
DLG4,0.0437414679286039,1.99415266267255,1.44629358335056,0.155030361353582,0.28646508582865,-5.86909751291893,Not
GDNF,-0.0249442529801676,2.63585239911345,-1.44623621864602,0.1550463695209,0.28646508582865,-5.86917771479567,Not
NAP1L2,0.0863660357002418,3.8126303208536,1.44612030932993,0.155078719078857,0.286482179436262,-5.86933975934725,Not
CGRRF1,-0.27131279288852,6.7154298254409,-1.44573074475809,0.155187482912137,0.286640409614182,-5.86988429516954,Not
IFNA17,0.0150429386347355,2.29315633565455,1.44556760765407,0.155233047484298,0.286681877300141,-5.87011228957468,Not
CLTB,0.128999518089784,6.18257944846298,1.44495747582619,0.155403551781047,0.286954034947198,-5.87096477974197,Not
APOF,0.0444456385848571,2.65225243208798,1.44475663062042,0.155459711083042,0.287015003954,-5.87124533359172,Not
TSHZ2,0.0535099452001817,3.26255251314504,1.44422237390159,0.155609174706807,0.287248190785612,-5.87199144583528,Not
DENND4A,-0.400494527742427,4.49473797924151,-1.44409781914366,0.155644036336525,0.287269789089572,-5.87216535574192,Not
HSD17B4,0.418746714814182,8.40041496626766,1.4424165005108,0.156115220335918,0.288094633468872,-5.87451156484429,Not
OR2S2,0.0178644653262028,2.08395308549185,1.44233746850441,0.156137396289427,0.288094633468872,-5.8746217894251,Not
KRBOX4,0.287654951694111,5.7829485186892,1.44151985083197,0.156366960365326,0.288475295167505,-5.87576178395715,Not
RGS1,0.626874759302886,5.43235724136209,1.44142469709077,0.156393694043416,0.288481705416491,-5.8758944174364,Not
LOC100130449,0.0280130599993389,2.93463367662262,1.44127924828728,0.156434565167477,0.288514187624122,-5.87609714109493,Not
MFSD13A,0.208819105768269,4.18859283178872,1.44116349958847,0.156467096542616,0.288531281358618,-5.87625845602308,Not
ITGA8,0.0140533302816719,2.20859390588485,1.44104719819044,0.156499788595721,0.288548666263227,-5.87642052934439,Not
FAF2,0.343002643515686,4.12815542466984,1.44069887973853,0.156597732136396,0.288686336457747,-5.87690586177031,Not
