,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
ITK,-4.69163522832344,5.6753408348142,-19.6104198884063,1.15141091902458e-23,1.42809496286618e-19,43.0969080509495,Down
MYBL1,-4.19109588048858,5.56551240609885,-18.1073416998498,2.79865033665728e-22,1.73558300627801e-18,40.1095470424118,Down
IL2RB,-3.22610003227716,7.43884549292255,-15.6424794015512,8.32249496352778e-20,3.44079683442117e-16,34.7028086781461,Down
IL7R,-5.7652191212753,6.03969539295686,-15.4167222607118,1.44696414650879e-19,4.48667407728713e-16,34.1732751337303,Down
IL18RAP,-4.85540477132626,5.24187193772351,-15.2276001587077,2.30971349454029e-19,5.72947529455664e-16,33.7249862909708,Down
CCR7,-4.13786292293642,5.77703884867289,-14.980659473538,4.27916391976969e-19,8.84574501615058e-16,33.1331367308981,Down
SYNE2,-3.36870359447614,5.0882418736284,-14.8327931314412,6.21078756640934e-19,1.10046283123107e-15,32.7751752542129,Down
MAL,-3.2532339902292,4.1125120762072,-14.7368180823171,7.92020780992308e-19,1.22792921833095e-15,32.5413926018148,Down
PVRIG,-2.77611496812861,5.13898730615965,-14.5602529037149,1.24219611638702e-18,1.71188427017202e-15,32.1083164817698,Down
FLT3,4.32803508733757,7.80581312769566,14.3531439544023,2.11570131563581e-18,2.62410434178309e-15,31.5953516317155,Up
KLRF1,-3.90941461130306,5.60970789209171,-14.1522599356444,3.56329574076036e-18,4.01777791569553e-15,31.092627636191,Down
RASGRP1,-4.68815332984807,5.15325269205129,-13.5551335242525,1.72643060122917e-17,1.78440989558712e-14,29.5677119726996,Down
CYP4F3,-5.60356965909279,4.81022560340319,-13.466011357933,2.19299245884201e-17,2.09228349746288e-14,29.3361407063375,Down
GZMB,-4.75098634929567,5.89617332738009,-13.12689956455,5.49803885633074e-17,4.87086970964787e-14,28.4454382510006,Down
RUBCNL,-3.26905272343317,5.6400200316216,-13.0242467021379,7.28216080813497e-17,6.0213760335532e-14,28.1728053331077,Down
NELL2,-2.43052688102073,5.8401878615839,-12.9327178512041,9.36629302262328e-17,7.09329766448614e-14,27.9285304278855,Down
GZMK,-3.60149264394687,5.73679898365999,-12.9191828804273,9.72233010531842e-17,7.09329766448614e-14,27.8923127976276,Down
MS4A1,-4.23994998126472,5.22074954236379,-12.8810431960428,1.08014169089223e-16,7.44277632896465e-14,27.7901245016248,Down
TGFBI,-5.29479167025979,7.13325058388655,-12.8318080364867,1.23767371453493e-16,8.07940372704037e-14,27.6579194923323,Down
QPCT,-4.18081727778131,6.53636965124558,-12.7387066550815,1.60240129925976e-16,9.93729165735943e-14,27.4070359623132,Down
LBH,-3.94772305837368,4.82989176987432,-12.5338402301502,2.83961594905763e-16,1.67713126743627e-13,26.8508619953317,Down
STAT4,-3.22006801999543,5.14530350153125,-12.4066932924865,4.06108333232375e-16,2.28952802594597e-13,26.5028269239066,Down
CEMIP2,-2.10317339533389,4.68907020331148,-12.2920412469371,5.61721697137924e-16,3.02914530852246e-13,26.1871123441936,Down
KLRD1,-3.69844182299718,4.09311291288417,-12.2492828099075,6.34230995711336e-16,3.27765293325321e-13,26.0689118066819,Down
ADAM19,-3.12282227116088,4.7788400354803,-12.007442704345,1.26584295983206e-15,6.28010009231883e-13,25.3956829706688,Down
TGFBR3,-3.04850785845361,4.55627791380061,-11.9822642485854,1.36086381435904e-15,6.34071411901385e-13,25.3251328258363,Down
CD247,-4.01023289209213,5.91563677962364,-11.9773331546559,1.38030541976436e-15,6.34071411901385e-13,25.3113057311312,Down
TRAC,-3.81490566140188,8.21152135048948,-11.7260773446398,2.85545826199917e-15,1.26486602941342e-12,24.6023653186913,Down
LCK,-4.27901306705997,5.64279358438383,-11.663004999048,3.43147840139687e-15,1.46760781422501e-12,24.4230437819324,Down
AKTIP,-2.32355112228822,5.50225645668546,-11.6433719076545,3.63386340419123e-15,1.50236026007279e-12,24.367113532756,Down
CBX7,-2.31255299144729,6.11579928682031,-11.5887064907933,4.26361227322228e-15,1.70585751692826e-12,24.2111058244764,Down
IL32,-3.66435691959063,5.3827488405822,-11.2761722539547,1.07110057873726e-14,4.15151889939946e-12,23.3113140686643,Down
CD27,-2.79583602444225,5.86441865081488,-11.1877987545976,1.3929868892793e-14,5.23552011749428e-12,23.0544601456304,Down
SKAP1,-2.1398042258009,4.75432027101189,-11.111242543453,1.75048781686598e-14,6.38567658605551e-12,22.8310898336407,Down
TMEM131L,-1.70404236644856,8.0854395484623,-11.0834010405818,1.90248666652349e-14,6.74186917854023e-12,22.7496574219349,Down
CKAP4,-2.90962692646773,6.50360229349287,-10.6662455943676,6.70438552381015e-14,2.30984704588381e-11,21.5169103537704,Down
FCMR,-3.87574747136707,7.72245946688417,-10.6143792630654,7.85333645260146e-14,2.63256573031394e-11,21.3619915991494,Down
IVNS1ABP,-2.92012356624249,6.87615117934035,-10.5871675651218,8.53404889688813e-14,2.78546864389746e-11,21.2805685022265,Down
HEXA,1.22805550925048,8.26146342694361,10.3955933491864,1.5362958415882e-13,4.88581469826113e-11,20.7045270309496,Up
ENO1,1.58819266228403,11.7083700719321,10.3706406457012,1.65912875148625e-13,5.14454347617098e-11,20.6291361292246,Up
CD8B,-2.48611263700337,4.13809560907575,-10.3193871027252,1.94358323878791e-13,5.87957631967963e-11,20.4740213460731,Down
KLRB1,-4.64213207660968,6.46915662336923,-10.1545956776179,3.23997535474515e-13,9.56795579164383e-11,19.9729361929565,Down
GNLY,-4.60171963456628,6.65335735222316,-10.0329988754311,4.73432715582313e-13,1.36557813287615e-10,19.6009050836235,Down
G0S2,-4.83440320308995,8.53092939334002,-9.99040925527298,5.40929446611312e-13,1.52480634689093e-10,19.4701441017919,Down
BCL11B,-3.3428633194411,5.24471974029382,-9.91038641678649,6.9528443515074e-13,1.91635841092769e-10,19.2238177745486,Down
DUSP10,2.12618031754549,6.95544737604212,9.88562297792122,7.51570459421021e-13,2.02646269743455e-10,19.1474234850301,Up
FPR2,-4.69522647514525,5.64188193455639,-9.84124976804552,8.64232456939764e-13,2.24603256385068e-10,19.0103366549657,Down
PFKP,1.74936723536185,7.95066020982405,9.83942270266151,8.69221664636239e-13,2.24603256385068e-10,19.0046866972236,Up
POU2AF1,-3.69198278656965,4.43110104111345,-9.81855274783497,9.28323873546443e-13,2.34979612318297e-10,18.9401188169778,Down
ARG1,-2.70568118568143,5.64272980527242,-9.81017041584498,9.53192642275643e-13,2.36448966842896e-10,18.9141697180761,Down
VDAC2,1.21903053399921,10.1321604997388,9.79717692705602,9.9308195405717e-13,2.41513636787668e-10,18.8739281781578,Up
GZMA,-3.8768762765914,7.04098081510326,-9.76276921553512,1.10707213005779e-12,2.64057992867437e-10,18.7672617010465,Down
SYNE1,-2.82647606854423,6.2222792761267,-9.70750591886884,1.31856700582773e-12,3.06684150406127e-10,18.5956266546491,Down
SLC16A6,-2.59504898659381,4.49013026165217,-9.70353916963323,1.33523696863105e-12,3.06684150406127e-10,18.5832919740417,Down
RTN1,-2.91469176232181,4.43235741035122,-9.61636057124526,1.76067598999602e-12,3.97048441889465e-10,18.3117081104787,Down
PRF1,-4.05198594930914,8.25612149622962,-9.5842294301076,1.95008170591675e-12,4.31908274972954e-10,18.2113709831431,Down
C5AR1,-4.9802625843083,8.57282387537568,-9.57717575365613,1.99434929532703e-12,4.33963408946336e-10,18.1893269576985,Down
ISG20,-3.91963150983996,6.54479010957846,-9.51303943064548,2.44657651146693e-12,5.2318773227111e-10,17.9886055620756,Down
PLBD1,-5.59404757267548,8.11620993152276,-9.49138972683702,2.62160865998952e-12,5.42050514012923e-10,17.9207355688023,Down
GZMM,-1.49426169442782,6.00140700015965,-9.49044780497159,2.62950517501215e-12,5.42050514012923e-10,17.9177814108874,Down
KIAA0355,-1.35019675606401,2.91821469725476,-9.48614390348253,2.6658938446173e-12,5.42050514012923e-10,17.904281655543,Down
MMD,-2.13908643301671,6.96188040756827,-9.46342009954859,2.86663901822489e-12,5.73466511984569e-10,17.8329676537118,Down
IPCEF1,-2.713028521325,4.27010962637364,-9.44177034866724,3.07211640029234e-12,6.04816820838505e-10,17.7649653613554,Down
CD8A,-2.65515415470054,6.85321872398098,-9.38981827332543,3.62811458694796e-12,7.0311726909243e-10,17.6015490929355,Down
KAT2B,-1.8840500584235,7.31027952464029,-9.30939972641913,4.69657402959975e-12,8.96178579832703e-10,17.347944757358,Down
GPR65,-3.50281750511196,6.5236186781087,-9.30409015305394,4.77742709063278e-12,8.97794366744218e-10,17.3311732726715,Down
SLC22A4,-2.54795243469784,5.80307479899253,-9.29197172233301,4.96727736065973e-12,9.19539419466607e-10,17.2928818007946,Down
EML4,-1.55970547395955,4.99729155764844,-9.26760919249353,5.372359312942e-12,9.79902537623818e-10,17.2158485434409,Down
CD160,-2.59064935510198,3.97438255614606,-9.24791479998697,5.72413451840127e-12,1.02893391930045e-09,17.1535239153714,Down
PLCL2,-2.41074271603011,7.9337688431481,-9.18627754676121,6.98299980723866e-12,1.23728780870259e-09,16.9581697126719,Down
ATXN10,1.0555477687244,6.12863648240115,9.17036392222788,7.35126786696757e-12,1.28419401907041e-09,16.9076598790637,Up
KIF21B,-1.77801216426766,5.92732854474898,-9.16156977680593,7.56314086659121e-12,1.30285605789348e-09,16.8797344915712,Down
CD79A,-2.7959697638869,6.05386645905876,-9.10558285492978,9.06468703007925e-12,1.54012757854894e-09,16.7017384253615,Down
CDKN1B,-1.49941975566694,9.13931958961141,-9.02324656524225,1.18385628889654e-11,1.98423912853836e-09,16.4393104538441,Down
CD55,-1.81763003657062,8.97621902598642,-8.99314108131978,1.30549749541687e-11,2.15894472475406e-09,16.3431617457603,Down
BTN3A3,-1.862588042839,6.71023397074015,-8.9617977391312,1.44559346383939e-11,2.35917049105263e-09,16.2429500551261,Down
IQSEC1,-2.12219578836688,6.39817326327548,-8.91451452540575,1.68624020811612e-11,2.71616068847587e-09,16.0915649853544,Down
DUSP3,1.38127286915673,7.40795180176393,8.89040564127937,1.82413937480053e-11,2.90061546995525e-09,16.0142798244245,Up
ZHX2,-2.35670729969621,5.90390953083764,-8.87648423972218,1.90890149727677e-11,2.99697535072452e-09,15.9696228604458,Down
ABHD5,-3.00855034026226,6.10623713558322,-8.87081346631349,1.94455923050947e-11,3.01479601700112e-09,15.951426020951,Down
IL16,-1.94675300926244,7.90757544593376,-8.85238218947952,2.06517017309048e-11,3.16225995763472e-09,15.8922576106959,Down
MKNK2,-1.52107940538264,10.4034614304752,-8.76199718439095,2.77554319769631e-11,4.19817832695456e-09,15.6015614141393,Down
MAPK6,1.77753132118522,8.40655963808458,8.75101178445703,2.87725713588773e-11,4.29959280197777e-09,15.5661695204344,Up
ZAP70,-2.41327113307746,3.8881318060214,-8.73385914847648,3.04365627283418e-11,4.49410342285266e-09,15.5108824677753,Down
INPP4A,-1.83725659574273,6.11141695758118,-8.69798664964627,3.42376616559646e-11,4.99587902963445e-09,15.3951547013223,Down
RCN1,1.8637781796083,6.31089424451223,8.66251731399681,3.84676728088315e-11,5.54784355637136e-09,15.2805927257517,Up
AREL1,-1.85432068684207,6.29062447297894,-8.63408813010789,4.22364216593996e-11,6.02136020507509e-09,15.1886736644035,Down
ZMYM4,1.28886088429243,6.0717160826396,8.58797931525514,4.91584827701398e-11,6.85527383708801e-09,15.0394118348416,Up
TMEM147,0.888248546782993,8.02798779259647,8.58777686952307,4.91912740063559e-11,6.85527383708801e-09,15.0387559973307,Not
GCA,-2.76711383845235,9.17191008241203,-8.53243518769668,5.90368011949016e-11,8.13592716911515e-09,14.8593143600483,Down
DOCK9,-1.58753437253287,5.17347641820177,-8.52385985749715,6.07312900585805e-11,8.27747462194038e-09,14.8314813841373,Down
CHKA,1.84276384774411,5.62157079077751,8.5110271549669,6.33591927717934e-11,8.54178334726689e-09,14.7898162857676,Up
CD48,-2.96491623190143,9.28786082654687,-8.48964998083493,6.79942471516036e-11,9.06809298302515e-09,14.7203720833004,Down
NCK2,-1.37125952177013,6.97932972953431,-8.48124962360325,6.99079756385995e-11,9.12804455231264e-09,14.6930707452872,Down
TCL1A,-3.59336571445895,3.80484400786243,-8.4788901427853,7.04552148020713e-11,9.12804455231264e-09,14.685401108261,Down
CD3E,-2.9156221213265,4.62100363459443,-8.47804774687845,7.06516388794657e-11,9.12804455231264e-09,14.6826627134676,Down
CDK5R1,-1.50777244957566,3.95832042309137,-8.47266662679033,7.19194779605435e-11,9.19605448602702e-09,14.6651685107677,Down
UFC1,1.1684569445907,10.2775310316878,8.4660942856294,7.34991704022236e-11,9.30214500508959e-09,14.6437976770652,Up
PRUNE1,-1.35980940195216,7.41930549150747,-8.45055416850716,7.73750219875794e-11,9.68817601394701e-09,14.5932497913976,Down
PLEKHA1,-1.82621671947163,3.49853677341542,-8.4476900643234,7.81115537688221e-11,9.68817601394701e-09,14.5839309955984,Down
GPX1,1.23159173469542,11.0423639905116,8.34146422803133,1.11061223312623e-10,1.36385381460046e-08,14.2377400736072,Up
TRBC1,-3.68216336641816,7.72931102591576,-8.2885883842723,1.32379525529099e-10,1.60970907366413e-08,14.0650114539974,Down
CDA,-4.10777088561346,5.08094122526698,-8.2468792185155,1.52074098426581e-10,1.82385189786182e-08,13.928574952602,Down
P3H1,1.32561631098906,5.67095429978023,8.24519004321386,1.5293122420191e-10,1.82385189786182e-08,13.9230460109219,Up
TRIB2,-3.25117485182759,4.85091061166712,-8.23413472461422,1.58662505810353e-10,1.87418196149125e-08,13.8868536639518,Down
MAP3K7CL,-2.89969421888612,4.93260261175136,-8.20675737498125,1.73805549858393e-10,2.03368890084307e-08,13.7971786583812,Down
HBB,-5.48804826632152,10.989508383073,-8.18635303194027,1.8603258072592e-10,2.15641317639588e-08,13.7302993437182,Down
IL4R,-2.00735233254087,7.58301743722724,-8.18279714122899,1.88250493413377e-10,2.1619174720427e-08,13.7186403365935,Down
LPIN2,-2.0363699140759,7.15646140381114,-8.13631690522491,2.19817094942427e-10,2.50127653997333e-08,13.5661370711713,Down
LTB,-3.4017479531399,8.23462807050917,-8.10114455536007,2.47208570170456e-10,2.78738899620378e-08,13.450607853842,Down
RBL2,-0.938012427738101,8.60105307585937,-8.09274434757064,2.54244391461614e-10,2.84089476333189e-08,13.4229999796516,Not
CD28,-2.15445550151057,3.4386086876627,-8.08624271397027,2.59828300145391e-10,2.8773664345565e-08,13.4016276864209,Down
MFSD10,1.64928880941947,7.54966251550034,8.06848664007986,2.75716017127704e-10,3.02628828357072e-08,13.343240927385,Up
CDC25B,-1.414783031475,7.49720889026461,-8.05357299237413,2.89814809530376e-10,3.15313428298707e-08,13.2941798511346,Down
CNIH1,0.992349401437203,8.78886609449355,8.03105319297864,3.12493625849116e-10,3.37031168817964e-08,13.2200609969342,Not
HERPUD1,-1.38282801995739,9.65984350889572,-8.02745891431723,3.1627531558952e-10,3.3816920166007e-08,13.2082272540824,Down
WIPI1,-1.9110931459726,5.67526783761719,-8.00937660665879,3.36011754541089e-10,3.56201178766934e-08,13.1486768479944,Down
FAM102A,-1.65440018162416,6.94692341855333,-7.99487126097987,3.52737785377075e-10,3.70763284070497e-08,13.1008866312267,Down
MEGF9,-3.67426533161861,8.37835033044938,-7.9787942597057,3.72258355046073e-10,3.87993309045079e-08,13.0478978965654,Down
BACH2,-2.35879395596701,3.7015081181909,-7.96898654349448,3.84697696702773e-10,3.96501125698695e-08,13.0155618249612,Down
KIAA1551,-2.64110274281311,7.80915496960293,-7.96690461561318,3.87391674564957e-10,3.96501125698695e-08,13.0086966843131,Down
SMYD3,3.2469299385878,6.67109639213893,7.96489386777343,3.90011588609536e-10,3.96501125698695e-08,13.0020659216984,Up
TIMM13,1.74564603918876,7.0280413016087,7.95687065335299,4.00644416993204e-10,4.03999406826561e-08,12.9756047930171,Up
TCF7,-1.98640614980312,2.96000827663893,-7.94804844567345,4.12673593701985e-10,4.12773434087558e-08,12.9465024630278,Down
MAST3,-2.659496004039,6.16460919502446,-7.94487054747892,4.17095275295078e-10,4.13858615958788e-08,12.936017794204,Down
ANXA3,-3.25237436178882,4.4652593366627,-7.9324471343916,4.34843901431567e-10,4.28045151544105e-08,12.8950220440229,Down
XPNPEP1,0.907207692500242,6.77310038286685,7.91568968897164,4.599958917237e-10,4.49238507484177e-08,12.8397048181381,Not
HIST2H2BE,3.24580347466046,7.96246032106386,7.91317935999488,4.6388796797064e-10,4.49500192714051e-08,12.8314161499769,Up
TBC1D9,-3.35408381489663,4.83424978136549,-7.89482928716039,4.93364254327508e-10,4.74356344684037e-08,12.770812178838,Down
MMP9,-3.07608169345198,6.54557655410598,-7.88546921394851,5.09119020751738e-10,4.85738708798754e-08,12.7398888141502,Down
COMT,1.32226106876557,7.89736651669769,7.87438257860625,5.28436883062087e-10,5.00320813787715e-08,12.703252405436,Up
HEG1,-0.928746920243269,4.30300316100815,-7.85167991525518,5.70330210113789e-10,5.34314425855064e-08,12.6282002649595,Not
FYB1,-2.07654749684688,7.67806664360326,-7.85031305780844,5.7295669304784e-10,5.34314425855064e-08,12.6236803320333,Down
MGAM,-4.4441501707494,5.688305351643,-7.8475854673459,5.78234353006414e-10,5.35211991070041e-08,12.6146602879579,Down
UBE2E1,1.2759782723314,10.884510221356,7.83256181824168,6.08193751884421e-10,5.58772378120183e-08,12.5649673740253,Up
GPR171,-2.87010274453576,3.70697792245414,-7.82943542727976,6.14622128664488e-10,5.60526342781297e-08,12.5546242082765,Down
THEMIS2,-2.60922784152715,8.98039373310428,-7.81956002133852,6.35380476595686e-10,5.75228032935496e-08,12.5219481171359,Down
CPSF6,1.36424372574904,8.81269958450713,7.78220761802707,7.20488175426473e-10,6.47551799986562e-08,12.3982886964871,Up
SLC25A37,-2.56279920127193,6.91099966004755,-7.75700843780077,7.8430218401109e-10,6.99834531531622e-08,12.3148053738819,Down
GIMAP4,-3.46961300943474,5.16084020472792,-7.74975845723606,8.03694869550993e-10,7.12016247645783e-08,12.2907780239047,Down
TMEM204,-2.15358634065246,4.09477327709477,-7.7043077350022,9.36766037667135e-10,8.24021926608899e-08,12.1400623267068,Down
FMR1,-1.45635482420378,7.12456442267425,-7.69374124940381,9.70755826649638e-10,8.4790736041799e-08,12.1050025756302,Down
NAMPT,-3.25386918442998,8.80132680995041,-7.67606512478299,1.03041391700229e-09,8.93721944935621e-08,12.0463354924111,Down
CD2,-3.0441687970643,6.86364690177853,-7.67343926837044,1.03958583825613e-09,8.95415496659083e-08,12.0376184210054,Down
PXN,-2.21854846065625,6.79289177003091,-7.66096585770348,1.08428938966821e-09,9.23435340200391e-08,11.996203876836,Down
NCR3,-0.619922478322175,2.5943387611301,-7.65924826816028,1.09059477852963e-09,9.23435340200391e-08,11.9905002548316,Not
KAT2A,1.18656924086605,6.53490103175476,7.65820223182874,1.09445291469368e-09,9.23435340200391e-08,11.9870265695036,Up
ZNF593,1.43394791594676,5.98344154615523,7.63626792547013,1.17859428735507e-09,9.87709793653033e-08,11.9141698267477,Up
DDOST,0.936745587209073,9.08198192830333,7.62996728736381,1.2039463258559e-09,9.9648824586997e-08,11.8932356940968,Not
RAB13,2.2704136412732,8.51323765800849,7.62967447777056,1.20513776409333e-09,9.9648824586997e-08,11.892262757303,Up
BICRAL,-1.33564460979724,6.60120068741101,-7.60483905730945,1.31063361130285e-09,1.07654229675425e-07,11.8097197884333,Down
IL18,1.95010158056557,6.23597892265591,7.59121955100534,1.3723821955816e-09,1.11984581393412e-07,11.764436760327,Up
ST3GAL1,-1.09516788734459,5.02050292605605,-7.58455270075511,1.40366735055909e-09,1.13788798359375e-07,11.7422659735707,Down
MPG,1.280846436803,6.92654294324626,7.57647407922012,1.44254056400988e-09,1.16180718281912e-07,11.7153964517396,Up
RPS24,0.356859260151438,14.3157628415387,7.56539098925767,1.49763924025954e-09,1.19840125786704e-07,11.678527235954,Not
ATP6V1H,1.03569696883281,7.27601055988519,7.56177029213559,1.51609418561929e-09,1.20539206309205e-07,11.6664808567139,Up
MCCC1,1.10687274399039,6.76810940112976,7.5508769099127,1.57300960797096e-09,1.24267759029706e-07,11.6302325969111,Up
PLXNC1,-3.15888388704357,5.41438539338893,-7.53449188594532,1.66269157791585e-09,1.30521288866395e-07,11.5756965727549,Down
DNAJB9,-1.48565638925667,7.86945435215455,-7.50739603381049,1.82242693619399e-09,1.42160762827761e-07,11.4854740437622,Down
TMED3,1.5459876916488,7.17311861648268,7.48021552689151,1.99817641369925e-09,1.54631248499681e-07,11.3949248137785,Up
LDHA,1.21934183979568,11.8081856520007,7.4788817543886,2.00722655877197e-09,1.54631248499681e-07,11.3904803426033,Up
LILRB2,-3.17852882700572,7.98601251219464,-7.47566225043433,2.02924229066789e-09,1.55362297105888e-07,11.3797516976266,Down
KLRG1,-1.37968643961941,4.81564812896705,-7.46895616066051,2.07588290869487e-09,1.57958133230322e-07,11.3574024215709,Down
RPS27L,0.947572673751859,10.8250486523176,7.46640084797497,2.09393732338627e-09,1.58360394036341e-07,11.3488856766094,Not
STK38,-1.63264401638191,8.98817927430775,-7.44016864990317,2.28866189745062e-09,1.72038021297455e-07,11.2614329399747,Down
PPP2R5C,-1.29387972476521,7.66800553126053,-7.43448556068685,2.33319209640556e-09,1.74328804648904e-07,11.2424814712133,Down
HOXA10,3.23637909120265,5.52805930297181,7.43071296144022,2.36323256998129e-09,1.75254436414493e-07,11.2298999216791,Up
LDLRAP1,-1.1078095611155,5.35964176878397,-7.42939226850573,2.37384062868941e-09,1.75254436414493e-07,11.2254952440253,Down
WDR83OS,0.634857118633716,8.81476342145686,7.42237754643572,2.43099186077094e-09,1.78411787273029e-07,11.202098607814,Not
PCBD1,1.496349024911,5.57931328110428,7.41498419513403,2.49272599112536e-09,1.81866355693693e-07,11.1774361104737,Up
IRF2,-2.95446300142037,5.41323391567493,-7.40553443081402,2.57393126234806e-09,1.86128830305404e-07,11.1459094568889,Down
CRISPLD2,-3.69342705797796,6.77311334209104,-7.40374348002659,2.58961873495103e-09,1.86128830305404e-07,11.1399338621931,Down
CD22,-1.12259042601821,4.55979233459885,-7.40299886599355,2.59616928507901e-09,1.86128830305404e-07,11.1374493689767,Down
C5,0.770603568089423,5.14323827423845,7.3936681777566,2.67967965447693e-09,1.91011877899295e-07,11.10631383175,Not
TUBA4A,-1.99320232471923,9.03648801552887,-7.38412589457891,2.76787765835549e-09,1.96171351980475e-07,11.0744673007221,Down
RGS2,-3.18808641491886,11.4863795364161,-7.35079159270438,3.09952601892791e-09,2.18428529617971e-07,10.9631786133479,Down
DEPTOR,3.2265658780607,5.61160587949253,7.33484336500218,3.2720456575224e-09,2.28237773508568e-07,10.9099137616401,Up
PRKCH,-1.19020065877416,7.22172676177989,-7.33453058249597,3.27552396069702e-09,2.28237773508568e-07,10.9088689803272,Down
ASAP1,-2.42103848945835,5.89013737516984,-7.33006453950212,3.32559589511437e-09,2.30432211659796e-07,10.8939505964729,Down
ISCU,-0.813137521403261,10.2944466067245,-7.32482741363522,3.38529376438733e-09,2.33265547553867e-07,10.8764551863639,Not
ATP8B4,3.29511977863642,6.39008271699592,7.31997052679405,3.44161937768595e-09,2.35769901898218e-07,10.8602287760662,Up
SMIM10L1,1.22559356694134,7.96518479521535,7.31708182922303,3.47556541552916e-09,2.35769901898218e-07,10.8505773383712,Up
JAK1,-1.15288461411262,9.78968742046603,-7.31681941005312,3.47866581047922e-09,2.35769901898218e-07,10.8497005478995,Down
GRHPR,1.21462662221755,7.63913488352955,7.31446478894449,3.50660951184215e-09,2.36372161822708e-07,10.8418331727858,Up
CALR,1.85415214870547,5.95415473146094,7.30507934910575,3.6202516676966e-09,2.4271341315914e-07,10.8104713223113,Up
ADIPOR1,-0.929597111354865,8.36150521390048,-7.30309901011726,3.64469914676685e-09,2.43038728587899e-07,10.8038533736008,Not
CLEC4A,-3.64974115631076,7.73585794661345,-7.2991531312561,3.69390708518298e-09,2.45002831965372e-07,10.7906663529588,Down
TNFAIP6,-3.47720855049339,4.44055705882677,-7.29429319336829,3.75543239607612e-09,2.47282512651315e-07,10.7744235159805,Down
S100A12,-4.5113356364285,9.01570698787331,-7.29329840882438,3.7681524543335e-09,2.47282512651315e-07,10.7710986136565,Down
VOPP1,-1.35351559412734,8.71350803016712,-7.28475121109949,3.87924260954085e-09,2.52553578506596e-07,10.7425290301095,Down
RPL37A,0.259538114743995,14.4109496463315,7.28399722874105,3.88919886275577e-09,2.52553578506596e-07,10.7400086226676,Not
SLC17A9,1.51796935144796,7.29459481858662,7.28003775340128,3.94190625089314e-09,2.54643037655352e-07,10.7267724618351,Up
GNA15,2.29283084494099,7.59446417928906,7.24559555227865,4.43175067009287e-09,2.84803127259906e-07,10.6116038452771,Up
KDM7A,-2.25177257830517,7.44238964846875,-7.2333546474771,4.62020133125449e-09,2.95383284080152e-07,10.5706590962825,Down
CLCN4,-1.10398555417554,2.59645865676325,-7.21003637330855,5.00175258110863e-09,3.18137114171745e-07,10.4926427492482,Down
MTMR1,-1.2000554176,7.1767466346216,-7.20780872933731,5.03981960133258e-09,3.18922869976163e-07,10.4851884159227,Down
ATF4,0.914313800205347,10.8965499589005,7.20501597986346,5.08795474103245e-09,3.2013946565376e-07,10.4758427699246,Not
SQLE,2.02892003529122,6.86890669655775,7.20298889550868,5.12318201751783e-09,3.2013946565376e-07,10.4690591286554,Up
RNF13,-1.63253159332691,9.10031129828532,-7.20222736246731,5.13647937314345e-09,3.2013946565376e-07,10.4665106106198,Down
GMDS,1.52668659151268,6.42075366481522,7.19799585429716,5.21100092248068e-09,3.23160222207639e-07,10.4523491432003,Up
RAPGEF6,-2.36091311262338,5.57441060932507,-7.19095354876793,5.33743888900253e-09,3.29354500200489e-07,10.4287791409142,Down
SLC50A1,0.83687644848864,7.58259501882677,7.16730868965776,5.78493647187163e-09,3.53541410461014e-07,10.3496263330086,Not
CERS6,1.33083957244916,8.86900651079212,7.16723364720875,5.78641508696169e-09,3.53541410461014e-07,10.3493750858307,Up
FOXO1,-1.43098290165691,6.89394258468139,-7.15427942145019,6.04743321811864e-09,3.66117280908711e-07,10.3059999847023,Down
NUP50,-1.14674659747092,8.16243683676223,-7.1540926685542,6.05128135018026e-09,3.66117280908711e-07,10.3053746229815,Down
PTPRC,-1.73314714581308,10.9901002745204,-7.15182011907965,6.09830577564354e-09,3.67171293860713e-07,10.2977646383787,Down
CCL5,-2.40688563438389,8.27787798230469,-7.13575081706664,6.44145528140167e-09,3.85958308479348e-07,10.2439481528874,Down
FUBP1,0.768006336531613,6.87041276783492,7.13295308917843,6.5031506265581e-09,3.8778162125577e-07,10.2345774426345,Not
GOLGA8N,1.70556384087947,11.0753923762605,7.11987688517587,6.79946634479018e-09,4.03510914231735e-07,10.1907759383168,Up
SYPL1,1.16335061004471,8.23615584933492,7.10852155049377,7.06776207163094e-09,4.16948300297494e-07,10.1527334955215,Up
KLF3,-1.22998746176376,7.27649882355843,-7.10747036101218,7.09312999780466e-09,4.16948300297494e-07,10.1492115708153,Down
DDAH2,1.87754513514513,6.45188804899524,7.07766888505369,7.85162678907277e-09,4.59357203136177e-07,10.0493470673769,Up
DYNLT1,-1.24566638501329,9.34072370449524,-7.0725704526082,7.98931720078575e-09,4.65218315687069e-07,10.0322590230617,Down
SPINK2,4.9224041865643,7.34051030331454,7.06800249558183,8.11473860530326e-09,4.70313565054095e-07,10.016948149432,Up
COPS2,1.14022341049429,9.5627665652517,7.06219266749288,8.27711704089221e-09,4.77493407712494e-07,9.99747371164101,Up
SP110,-1.55865613209013,8.4416535858451,-7.05815136159282,8.39198651923177e-09,4.79741583339615e-07,9.98392663289488,Down
ANKRD28,2.74213585635631,6.08751014450136,7.05810033630679,8.39344703577331e-09,4.79741583339615e-07,9.98375558466731,Up
RBM47,-3.34462331563281,6.0352958568767,-7.05371447113746,8.51994342028766e-09,4.84737881843247e-07,9.96905284292827,Down
