CTNNA1
SCD
CKB
TNFAIP1
PSMD13
RARS
PLEKHB2
CLDN4
DPYSL3
ATP6AP2
CNN3
MYH11
NBL1
ENG
NDUFA6
ALDOC
KDM5A
RAI14
PPP2R2A
GGPS1
IFI27
YIF1A
MPI
POLR2L
GTF2E2
TMEM63A
FBLN5
GALT
ALDH1A3
PEX5
BRD3OS
DRAP1
DMTF1
HPS1
PTPRM
ARMCX2
MFAP2
CDH2
LRRC14
LOXL1
VEGFB
BRF1
ARHGEF17
LRRC32
MAPRE3
SLC9A6
HPGD
NT5E
ENTPD4
BCL9
MFNG
MNT
PPP1R3C
TLE2
RABIF
CLDN5
AHSG
CCL21
CDH5
RAPGEF5
STOML1
PANX1
HLF
ARHGEF5
TCFL5
VAMP5
SH3BGR
MAPK8IP2
SLC22A5
APOB
RBM19
CELSR3
TGFBRAP1
IGFBP1
SMPDL3B
INPP4B
PRSS2
MPP6
HPCA
ASB9
SCGN
KCNQ2
SH3GL2
F12
RAMP2
NRXN3
REG3A
BRINP1
HMGCS1
SLC18A2
SLC38A3
ACTL6B
SOX15
CYP4F11
PEX10
SCN2A
TNNI2
SLC1A1
CNGA1
ZNF143
KLKB1
TNP1
HCG4
HYAL2
ACKR2
HS6ST1
GPR37L1
SLC22A1
POU6F2
PRSS3
TBXA2R
DGKQ
OGT
RFX4
NPHS1
ONECUT2
SOX30
TBX10
KRT12
GHRHR
RBPMS
ADAM11
CYB561
PROZ
OPN1SW
ST8SIA3
AIRE
MYH4
OSBPL7
DUX1
LSR
KCNAB1
CRLF2
PGR
GRK4
MTNR1B
HIST3H3
COPS7A
LRP5
PDLIM3
STK16
TGFB1I1
PGF
KIFC3
SMAGP
NTHL1
CHRDL1
SLC9A3R2
SPP1
PCGF1
SPAG6
RAPGEF3
TSHR
TM7SF2
CRYAA
ABCC8
SYN2
AP4S1
CLK4
ACVRL1
ERBB2
COL19A1
HGC6.3
GPR68
PXDN
JPT2
ELN
MTG1
MCF2L
FAM172A
C2CD5
TLK2
OLFML2A
STARD13
TTC9
SHANK2
JCAD
GDPD5
CDHR1
ATAD2B
BICC1
PYROXD1
KRT20
RFPL1S
ZNF79
MAGEA4
CACNG2
CHRM3
TSPAN2
ATP6V1G2
TIPRL
FAM149A
BICDL1
EEF1AKMT2
LRRC42
PMS2P4
TRAPPC10
DOCK5
PRSS3P2
ANKRD10-IT1
FBXW12
SYT12
ZNF721
POLE
CYP2A7P1
OR7E19P
FOXL1
MAGEC3
HRASLS2
ATP8B2
ADAM15
CADM3-AS1
STEAP1B
WBP11
DSG2
GGNBP2
INF2
EPS8L2
ACSL5
CRELD2
ALG12
TVP23B
VWA1
NARFL
FHL3
NCBP3
LZTS1
PEX26
USP18
AEN
NAA16
SLAMF8
C1orf50
PRMT7
EBI3
KDELC1
GCNT3
SNCAIP
FJX1
TMEM121
KREMEN2
HIGD1B
DUOX2
RAI1
LHX6
SLC27A6
HIKESHI
LRRC36
DDX43
SPACA9
CCDC198
ZBTB32
EPB41L4A
KPTN
CA8
RIC3
TUBAL3
ALLC
ABCG5
FAM110D
MYCT1
SERINC2
TXNDC15
RHBG
PRR34
LOC101927550
FOXRED2
PLA2G3
SLC35E1
GALNT8
ADPGK
PTDSS2
PER3
HS3ST3B1
CHST8
SPX
FEZF2
C7orf69
GDAP1
SLC22A8
GPR173
CATSPERG
NEUROD4
EDA2R
PEX16
DDX4
STRA6
TJAP1
RNFT2
PAOX
