PAX8
GUCA1A
THRA
PTPN21
CYP2E1
CYP2A6
GAS6
MMP14
DTX2P1-UPK3BP1-PMS2P11
YY1
C1D
OS9
SPARCL1
PSMD4
LGALS3BP
ATP6V0C
PRDX2
CPE
CDH1
RAB5C
MBNL1
RAD23B
ARIH2
PPP2CB
BAP1
SUPT5H
LAMB1
IDH3B
KDM5B
RAE1
PODXL
NISCH
RRAGA
KRT19
SRSF4
ACIN1
LUM
TBCD
FBLN1
ATXN2L
RNF14
SUPT7L
EFEMP1
PLAT
UBXN1
CEACAM5
FAM3C
ARAF
CCZ1
PAPPA
EGFR
ACAA2
METAP2
RPL38
SFRP1
TJP2
PAF1
CLK3
PYCR1
USF2
CSTF1
DKK3
GSK3A
NNMT
STXBP1
ACTG2
TACC2
MGP
LYPLA2
PAM
ACADS
KDM5C
RANBP1
FXYD3
ELP1
ATG5
PPP2R5D
CHTOP
CRABP2
NDST1
TRRAP
LMO7
KIAA0391
SLC7A8
ROCK2
STK39
SYNPO
AAGAB
DNAJB12
EPHB4
SDC3
ANK2
WNK1
ADAM12
CAPN6
TRAF3IP2
C7
MEF2D
BAHD1
TIMM44
MGAT2
VPS41
PDGFRA
RB1
AP3B1
ATF6B
RRP8
FXR2
MYO6
RABEP1
NOTCH3
LAD1
ORC4
ATG13
RNF6
ASF1A
EML3
LDB1
PLEK
SLCO2B1
IPO13
AFAP1
ZBTB17
MBNL2
TATDN2
TPMT
TMED1
CX3CL1
FRZB
HCCS
AQP3
PCGF2
CDC42BPA
DGUOK
C17orf75
BLZF1
VHL
KIF1A
ADARB1
SMARCA1
DMD
TUBG2
KDR
TAF1C
CLDN3
PEX3
CASP9
ZNF212
C21orf2
SYT1
DNAL4
BCAR3
MAOB
ME1
CHST10
CEP104
CLN5
STK19
MTM1
GADD45G
SLC34A2
MZF1
PIGQ
STAB1
USPL1
PKNOX1
PDGFB
PTPN13
EIF2AK2
SLC17A7
GULP1
FLI1
NNAT
SLC4A5
CYP11A1
COL11A1
BCAS1
MAOA
TCAF1
SLC12A2
FLT1
LARGE1
LZTS3
PDCL
DST
EDNRA
INA
PTPRZ1
GAP43
GEM
FARP2
HSD3B1
PHF14
CELSR1
HPS5
ICK
CROT
MMP19
MMP12
KLK3
L1CAM
SLC25A14
CHL1
STC1
MRPL28
EXO1
MYH2
RPS6KA4
NPR1
FOXA1
CDC42EP1
AFP
ALDOB
WIF1
SCN3B
WDHD1
BICD1
PICK1
TAP2
MLF1
IFNAR2
EML1
MAPK10
BMPR1A
EEA1
PRKAR2A
ENPEP
ZBTB11
CA3
PCSK2
MTERF1
ZNF646
MUC4
SAP30
BTRC
RPS6KA2
SOX11
GAS8
INHBA
RASSF7
TCF21
TNFRSF11B
PTPN2
PLN
ALDH3B2
ORC5
SSPN
GC
FGB
ITGB4
NF2
ATF5
RAD51
TRO
FABP7
PARG
ENPP1
CYP2J2
ZBTB1
PEX12
POM121
PLCE1
FGF1
PLCD1
ACTC1
UST
ASIC1
ERCC8
MYLPF
CLTB
SMAD5
CA9
RIN1
ACAP1
EHHADH
ESR1
PDGFRL
SLC16A4
CXCL13
SLC13A3
NOTCH4
ZNF174
ZBTB39
CDC14A
OGG1
DDC
HNF1B
SNTB2
REEP2
DCT
ACADSB
GRIA2
BBOX1
HOXB6
FAM131B
CTNNA2
PDZK1
FXYD1
MDM2
DCLK1
SLC22A3
ITGBL1
AP1B1
BMP5
OVGP1
BCHE
NPY1R
ATP2A1
FOXO4
MC1R
RAB35
ATP6V1B1
CCL20
AMBP
PPP1R1A
SNX15
VGLL1
KIAA0408
PDE10A
GABPB1-IT1
GATA4
HAPLN1
RUNX1T1
CDH6
GSPT2
HSPA4L
CSRP3
MSX2
KCTD17
SERPIND1
MYL3
OLFM1
DSG3
CPA1
PRRG1
MEOX1
SMPD2
ADGRB3
FGA
RAPGEF4
MMP10
TFAP4
GFRA1
ATP6V0A2
CDS1
LRP2
TEP1
NCOA2
PGAM2
TNNI3
DOC2A
CBLN1
SULT2B1
TCAP
FAM50B
FGF7
ARVCF
TNK1
NOVA1
SLC3A1
ROR1
ROM1
GRM3
ITGB8
PCSK1
MMP3
HSD17B1
CRAT
GAS2
GABRB3
CDK5R2
ZNF197
NGFR
GREB1
LIFR
ZC3H7B
POU6F1
REG1B
MSH3
NLGN1
OMD
S100A7
RELN
MSX1
MYH3
TDO2
MYH1
KCNK3
PSMC3IP
PAK2
KCNS3
AADAC
HOXD1
EPHA1
KL
SCGB2A1
MOG
WNT5A
PRRX1
TBX2
ELK4
CYP3A4
ADGRG2
CEP162
PRG4
SCAND2P
NDP
USP5
DSC3
MAPK11
OVOL2
PPIL2
ACADL
EPHA3
ADGRB1
HFE
MATN3
SLC22A18AS
ZBTB6
ECM2
ANKRD7
AMPD1
LLGL1
ADRA2C
LHX2
SLC26A3
AGAP2
GJB5
CLCA2
IL13RA2
MPP3
HOXC4
CEACAM7
MEOX2
GRB14
SELE
WNT10B
CST1
TM4SF5
EGF
CCDC9
TLR3
NPHP1
SULT2A1
C8A
RFX1
SYN3
GRP
ELAVL3
CARTPT
NR1H4
LGI1
MAP3K10
XCL1
CPLX2
ZIC1
HSPB3
SLC6A15
SCGB2A2
BDNF
CACNG3
DGKG
LRRTM2
TLL1
NOX1
GCG
TRPC3
MLANA
HAS2
MPPED1
TCTN2
EPYC
SEMG1
GABRA5
DIO1
NOVA2
TRPM1
LDB2
DLGAP1
FMO3
COA1
OCA2
INSM1
CYP24A1
UGT2B4
ZSCAN12
PIP
CDH16
TRPC6
SLC26A4
CHRNA5
SLC2A2
CYP4F12
KLHL24
TAC1
CLUL1
PSG11
ZNF85
CDKL5
VIP
EFEMP2
BNC1
DAZL
DRD2
INS
OVOL1
ADAM22
DKK4
ADAMTSL2
CHRNA1
CHRNB2
HTN1
DSG1
NR0B1
IQCC
SI
SKIL
GABRA1
GP2
ATF7
GPR143
CCDC181
C9
GRIA3
CNKSR2
SYCP1
HOXC11
PCYT1B
PDE5A
EDN2
ASMT
DNAJC4
BRDT
PNMT
SCGB1D2
