EPHB3
SEPHS2
PLD3
RRBP1
PKM
CDIPT
CYR61
WSB1
NQO1
IGFBP4
FAT1
CPSF1
COPS5
HSPG2
ITGA6
GYS1
PPP1R10
SMG7
DCN
DVL3
WASHC5
EPHX1
BIRC2
PPP1R2
CHPF
DES
PLK1
HSF1
MATN2
SPOCK1
ABCF3
SRF
CYP1B1
GALE
GSTM3
PDK2
RNF103
P4HA2
SLC20A2
AGT
PCK2
ATP6V1C1
UNC13B
KIF13B
RPL23A
C2
PAPSS2
MYO1E
PMM2
MTFR1
SCAF8
CDK2AP2
PSD3
MMP15
PDLIM7
SRSF5
B3GAT3
SPR
PMM1
PEX14
STX4
PRPSAP2
LPL
CUL7
AOC1
EMC2
FSTL3
IVD
GSDME
ALDH4A1
ZKSCAN5
TCF4
VASH1
INTS9
HNMT
PREP
EMILIN1
RARG
TK2
ACOX3
CEP164
GTSE1
MRPS12
RGS4
ABCA3
GALK1
NEFH
LCAT
ARSA
FZD1
PLA2G15
PC
ENO3
DOLK
ADCY9
STAR
DZIP1
TFAP2A
ALPP
SIKE1
RNF24
TMEM186
ATP2B2
CDH13
KRT15
CSPG4
CKM
NAV3
TAOK2
MSLN
PTPRG
SRPX
MTAP
ZNF7
NAGPA
DNALI1
ACVR1B
TIMM8A
PGC
BMP2
DYNC1I1
GGCX
ACOX2
ZBTB20
HSD11B1
RECK
PRL
MAP3K12
CORO2A
STEAP1
BABAM2
SNX7
NOS3
TRAIP
SYT17
MST1
CALB1
TSPAN9
MTTP
AP3B2
SYNGR3
SDS
TRPM2
SLC25A40
SCGB1A1
AFF3
RBM42
DTNA
BPHL
CRP
GSR
ASPH
CACNA1H
ZBTB7B
RET
CGREF1
DNAJA3
NOL4
ADAM23
CHML
RTEL1
SRSF6
MOCS3
MAGI1
SYT5
ZNF623
CD180
MMP17
P2RY2
MYBPH
FOXD1
ABCB8
LIPF
PRLR
SERPINB7
PDE1B
CD70
GABRR1
GLB1L
OPRL1
SLC7A1
SLC2A4
ASIC2
SYNGR4
UPK3A
FRMPD1
CRYBB2
RNF40
FKBP1B
TNFSF9
PRKCA
SRD5A2
MED20
GPR161
PPFIA2
LTA
IL12RB2
MYCNOS
NKX3-2
CDKN2A
E2F2
HRC
P2RX7
LTK
LY6G6C
TONSL
ALPI
TLX1
SLC9A3
CDK16
SOX5
NTSR1
SMTN
SLC22A13
SLC7A11
RYR2
ARTN
TBX6
NINL
SOGA1
SERPINH1
DLG3
ATG10
MGC4859
SORBS3
FDXR
MAZ
ADPRH
CYP2F1
CACNA1C
MADCAM1
TRPV5
P2RX3
SGPL1
EDN3
AQP6
LMX1B
PGM5
HOXA11
SNTB1
CCND1
DYRK1A
CTGF
TCF3
NR2F6
CLN3
NSDHL
RGS16
EPHX2
PLPBP
B4GALT2
FZR1
RHOBTB2
KYAT3
CEP250
NCDN
THBS3
APOBEC3C
ALDH1B1
ITGA7
CLEC2B
COQ7
NMNAT2
DCLRE1A
VLDLR
SPHK2
PKP3
TP53TG1
VEGFC
RAD51D
NCAM1
ASCL1
MYT1L
CTSV
ANXA10
LILRB4
FZD2
RAD51B
PEX2
IFT20
AFDN-DT
FN1
LDHAL6B
MEG3
SLC6A5
CENPA
ARNT
COL4A6
AR
CSPG4P1Y
BMP4
HSPA2
GINS4
MMACHC
ATRN
COL4A2
SLC39A14
SDC2
FKBP9
SUZ12
SBF1
EMC1
ZCCHC24
CENPB
SPRED2
DESI1
NEMP1
CAMSAP1
RND3
KLC1
ADGRF5
APBB2
ACKR3
CAVIN3
NTAN1
LPCAT4
ADGRG6
TSPYL5
ZNF473
COG7
TNNT1
KNOP1
SCAMP4
TMEM159
ZBTB7A
MTCL1
CA5BP1
IQCK
ZC3H3
POP1
FAM114A1
ERCC2
ZNF688
CAND2
PINLYP
GLB1L2
PENK
STIMATE
TWIST1
BEAN1
MEIS3P1
CADM4
NAT1
ADAMTS2
CDC42EP4
CEP131
PLCH1
UAP1L1
PMS2P2
CEACAM21
ACTL8
FBXL18
CDH22
SPATS2L
UBXN8
TBC1D22B
MGAM2
KLK1
DLEU2
RPAIN
HLA-DRB6
OR2J3
PRICKLE3
CINP
TIMM50
GOLM1
RTL8A
NT5DC2
BFAR
ARHGAP17
PTGES2
XAB2
HMOX2
CRBN
CENPT
SLC52A2
OLFML3
NSD3
UGGT1
NCS1
SLC25A10
EDEM2
C11orf24
PAGR1
DERL2
SLC35C1
THEM6
TEX264
LRRC20
JMJD4
MRGBP
TBC1D13
NRN1
LHFPL6
S100A14
VPS28
SMUG1
TKFC
LACTB2
SNX24
ZMAT5
COQ6
REEP4
PNMA8A
MAP3K20
TMEM132A
TPPP3
NETO2
MAGOHB
TMEM177
HSPB7
PYCR3
PAM16
SLC2A8
MORC4
THNSL2
ZNF668
ZNHIT2
YIPF2
ZNF576
TTI2
RPP25
FBXL6
SCRN3
C10orf88
OGFOD3
MAP3K6
PCOLCE2
TRMT12
C1orf159
BOLA1
OTUB2
CLSTN2
PXMP4
POLR3B
LRFN4
RAD54B
NEIL3
C1orf54
NDUFAF5
SLC47A1
TEDC2
MCPH1
SLC6A20
NUDT18
QSER1
AGPAT3
MFSD13A
NDNF
SNX16
ZNF34
SLC12A8
MAGEL2
TMEM255A
FGD6
ZSCAN5A
DKK2
POPDC3
SULT1E1
MOCOS
SLC2A9
KIF26B
PRR16
RASIP1
HIVEP3
MELTF
CCDC134
CNTLN
TMEM104
NPC1L1
DNMT3L
ALDH8A1
NUDT6
JPH3
FBXO17
KDM4D
CRYBG2
CD244
DOK3
IL36G
CORIN
EPB41L4A-DT
ZNF557
BET1L
UPB1
TBC1D10B
ZNF696
SHARPIN
RNF170
SLC2A10
SLC17A5
C17orf80
TACO1
ELP3
RPA4
IQCG
NBEA
KLHDC4
SMG9
MCHR1
HTR5A
GPR25
FGF16
RBPJL
NMUR1
TAS2R7
TMEM222
PLVAP
ERLIN2
ABHD6
RASSF4
TRAPPC9
PCIF1
TRABD
CLPB
KCTD13
COL8A2
C9orf116
FAM110B
OPLAH
OAZ3
ADAMTS1
SPO11
SCIN
OR7E156P
