,sample,Activated CD8 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Activated CD4 T cell,Central memory CD4 T cell,Effector memeory CD4 T cell,T follicular helper cell,Gamma delta T cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell,Regulatory T cell,Activated B cell,Immature  B cell,Memory B cell,Natural killer cell,CD56bright natural killer cell,CD56dim natural killer cell,Myeloid derived suppressor cell,Natural killer T cell,Activated dendritic cell,Plasmacytoid dendritic cell,Immature dendritic cell,Macrophage,Eosinophil,Mast cell,Monocyte,Neutrophil,group
1,TCGA.AB.2812.03A,0.201301792298933,0.225491073940654,0.128376771111837,0.242999870771593,0.465132052403293,0.247640480552912,0.0627152137769145,0.215880932295224,0.105529353030185,-0.0674670005708402,0.125396360579223,0.207168523443061,0.00977249651280866,0.0261904945276336,0.247450195190539,0.124635075353014,0.216934996156574,0.133051982800541,0.38209661947656,0.0813815372256669,0.226969335642019,0.439728959206225,0.340868698981814,0.141493130634498,0.212619998810657,0.266638780371205,0.393492683588137,-0.162499832886292,High
2,TCGA.AB.2979.03B,0.359053014863907,0.267266651092268,0.307385522001885,0.22871574774833,0.481015966312603,0.242541413728837,0.163010969117372,0.306705393275939,0.163832244393761,-0.0353303984036173,0.0773817977823306,0.254638067407503,0.175438358755186,0.270775171813654,0.272974144554823,0.148256013228551,0.222914563740711,0.16063505443638,0.485204751261585,0.068019187169205,0.298482095207432,0.452774432112088,0.28745039278034,0.117732184326669,0.112364588681777,0.231404570644973,0.396081027108071,-0.127677397531764,High
3,TCGA.AB.2834.03A,0.238172170732008,0.331658135967474,0.216921592604845,0.314280783792118,0.503856864388002,0.300757664058083,0.180873446876113,0.284895093053163,0.158407601716286,0.00967197146910783,0.108464443460252,0.327130548233406,0.0595954912744431,0.220082956111513,0.284330382283969,0.204210051490346,0.179684125182121,0.151988704348971,0.579013631726868,0.114650168820897,0.366141082589179,0.490018542580264,0.385260402964707,0.325712545019885,0.180900363507335,0.299435011429875,0.446858579360607,0.270903885653907,High
4,TCGA.AB.2851.03A,0.292697099801544,0.320308455059966,0.320771755796389,0.144208942779275,0.526666331120922,0.249059039291266,0.227632836829223,0.330710014327624,0.190243447576591,-0.00582279949883026,0.0015703160605897,0.370127535593604,0.179748790441625,0.341134411785135,0.199173155380948,0.216385120444987,0.20200104015559,0.232153635079527,0.660297580103368,0.141953366587609,0.329829997559466,0.517301544770619,0.370703044111183,0.425919616919924,0.215688209651353,0.363395184989876,0.536030210896216,0.251913559356042,High
5,TCGA.AB.2871.03A,0.544377537960193,0.219176859777208,0.320709613826408,0.285632661541755,0.54375335531113,0.292996216062972,0.105072392241693,0.275794068896218,0.18232874613229,-0.0623563234717454,0.0872465890334881,0.160939395076206,0.247072062844284,0.316242679828483,0.24375608289842,0.126974262629994,0.223875947827959,0.178799791003354,0.42662090811511,0.10726793485846,0.228691684750568,0.452714908110234,0.340327562964918,0.115065152363277,0.0886219669961086,0.187617493921689,0.376691866270458,-0.228519556813367,High
6,TCGA.AB.2862.03A,0.41627003953392,0.285386175437698,0.211602657564285,0.236567590011455,0.477020121736131,0.160115530452867,0.0966147183795472,0.251691347985692,0.140361707180169,-0.00708576266567516,-0.00599360304219363,0.186112257700811,0.156324296306591,0.197590737421125,0.26595968597856,0.125859059888884,0.224672862853533,0.181920520941323,0.359523373319705,0.0775824463181872,0.204625771604749,0.37352507666082,0.366693980505385,0.0955134156025728,0.121332689731004,0.243933321280998,0.422988631187054,-0.164724156552736,Low
7,TCGA.AB.2878.03A,0.365668602999051,0.256847134970016,0.241496787236316,0.375311771729749,0.463561778445849,0.310091381485007,0.0971750411483986,0.294594764469096,0.149594419017529,-0.0121822615561719,0.177199819821345,0.246274267254118,0.14107533116646,0.211993894063759,0.316617321026219,0.163518660881938,0.255552407316558,0.137493188852324,0.449431906983513,0.105058738070977,0.301084608610853,0.485651467501614,0.386092521567354,0.197016540907108,0.123826210078938,0.301511745123219,0.362254553104963,0.0107461089050767,High
8,TCGA.AB.2853.03A,0.265250889218628,0.27347174939701,0.237513398092152,0.206265872067941,0.448595677482377,0.288779712957083,0.104594301713292,0.258501950947522,0.147486609899238,-0.0515344516588866,0.102013343499492,0.21513930616556,0.0602974794495613,0.104529799487402,0.230746752965629,0.131535064880971,0.194062392711919,0.130155184379458,0.391268922973549,0.0755456811471957,0.279877357273162,0.439798862339994,0.386602080080466,0.192375326867404,0.116051298896996,0.219038359378529,0.394162918149083,-0.125996026932024,High
9,TCGA.AB.2836.03A,0.339100778362712,0.393222915027453,0.32221948656997,0.229282563166223,0.536922314918087,0.300433892693993,0.217178733864913,0.320433081603093,0.200276648143254,0.00656601187734378,0.0407464895490945,0.375575524511312,0.133122273689872,0.286362102239545,0.223359850184329,0.191294540138029,0.21981040644779,0.213576258938267,0.659438014840265,0.149660920384726,0.401840620276604,0.493198756854129,0.376882803878723,0.381609522564376,0.229980852139929,0.351992755716582,0.515539346173051,0.254041464238432,High
10,TCGA.AB.2995.03A,0.504504019495639,0.216924351115747,0.270831581212454,0.324097949681983,0.513749327984642,0.304456189153325,0.0766328766347861,0.267099567916332,0.192143447514842,-0.0411230128448022,0.101340498662158,0.085149857110049,0.151055020506936,0.149192235391565,0.277838762681332,0.153930533638732,0.209495647400982,0.13823896734882,0.41970998023445,0.127769282778469,0.203729312485436,0.444012927544581,0.328201666175888,0.0559003833092245,0.0774364411820791,0.130505689764042,0.346974842059768,-0.258451317734427,High
