RFC2
BAD
EIF4G2
GDI2
SEPT2
CFL1
RPL34
NARS
RPL9
CTDNEP1
JTB
ZNF146
SART1
TAF10
RPL30
IK
CNPPD1
KXD1
ELOB
RPS25
ACTN4
DSP
RAD21
WDR1
SF3B2
TMEM59
NDRG1
PFN1
YWHAZ
NUCB1
CTSA
DNAJB1
SPARC
SPTBN1
CD81
UBE2L3
SRSF11
HK1
KDELR2
FKBP1A
ACTR1A
ACTR2
PTP4A1
NACA
PGK1
RPS27
TPP1
GNB1
NUMA1
CAPN1
ARL6IP5
DPYSL2
CTSD
MAT2A
LAMC1
BZW1
GNAS
PEA15
MCL1
SARS
LMAN2
CIRBP
LAMP2
PLOD1
RAP1B
MAP4
BCAP31
CTSB
PPP1CA
AHCYL1
IST1
FLNA
RAB11A
RNF114
S100A10
DNAJA1
PGAM1
SSR1
PALLD
M6PR
SELENOF
RPLP2
KTN1
SRPRA
MLF2
UBA1
ANXA6
SERPING1
PSME3
SNX17
CD9
DSTN
TAF7
BLCAP
ANP32A
TGM2
MYL9
STOM
PSMC2
SF3B1
TM9SF2
SYNGR2
PIP4K2B
BCLAF1
SON
SDHA
ARF4
COPB2
PGRMC1
ITGB5
PLP2
GPNMB
PUM1
ARHGDIA
BHLHE40
TERF2IP
ARCN1
LRPAP1
IDH1
CSTB
DDX3X
PPP1R7
CTBP2
SNRNP70
ILK
TXNRD1
NUDCD3
RALY
AKR1B1
DAB2
ADRM1
SEC11A
PRNP
SH3BGRL
PSMA2
MYL12A
SMARCC2
ETS2
ARHGEF12
UBE2D2
GPX3
SF3A1
ANXA7
ZFP36L2
CUL3
PLEC
HNRNPF
UBAP2L
CRTAP
UCHL1
PSMB3
GRK2
PPP1CB
CUL4A
CAT
TTC1
COL6A3
GBF1
TIA1
MAPKAPK2
SCRN1
SHC1
GSTO1
ITGA3
SUPT4H1
CTSC
USP7
AAMP
CBX1
ARF5
SAR1A
TRIP12
LAMP1
GYG1
VAMP2
SORD
ID2
SNW1
TMX4
SEC23B
IRAK1
ANXA2
PPP1R12A
ALDH9A1
AP1G2
MBTPS1
CLPTM1
BST2
TSTA3
TNC
UBE2L6
ACSL3
TIMP1
GJA1
SRRT
DLG5
TOX4
API5
TPD52
ENTPD6
NIPSNAP1
RANBP2
MRPL49
CDC123
KIAA0100
TPR
CLCN3
TWF1
SAFB
JOSD1
RPA2
TSG101
DAXX
AIP
RELA
RNASE1
DDX42
AEBP1
VARS
POLR2B
PRKAG1
NIPSNAP2
UBE3C
KRT5
SMARCD2
RTL8C
PRKAB1
NEDD8
RYBP
LIPA
CAPG
SH3GL1
FAM32A
PON2
ARIH1
DCAF11
CTDSPL
RPS4Y1
COASY
SLC20A1
AFF1
PKP4
EIF4G3
DNPEP
PLK2
FURIN
CAPZB
CIB1
MYCBP2
RBM6
MYO10
RSU1
SPEN
ST14
NID1
EIF1
EFNA1
ASNA1
SDHD
BCKDK
WIPI2
MAN2A2
RB1CC1
SMS
CBX6
ALDH3A2
LDLR
IDH3A
HNRNPL
OPTN
IER2
CTSL
SLC39A6
UQCR11
ARL2BP
NUP153
PEPD
SLC4A2
SNX2
DPF2
ARHGAP1
RIOK3
LY6E
NUP62
CNOT8
MMS19
AASDHPPT
ERCC3
GAS7
TMED5
AMFR
ARFGAP3
CUL4B
KHDC4
CHERP
SLC16A1
PARP4
TRIB1
TSPAN7
PRPF3
DNM2
N4BP2L2
FBXO28
SPTLC1
SERPINF1
CDKN1A
MTOR
STAG1
RER1
LAMTOR5
FNDC3A
FEZ2
SREBF1
UBE4B
SENP6
GTF3C1
ACBD3
PMF1
SYMPK
NR4A1
TOR1A
ITGAV
CFB
SNX19
CUX1
LEPROT
NKTR
ADAM9
GNPDA1
TCOF1
HTT
KLF10
NSF
COL1A2
MAP2K2
PPP3CA
MYC
PPP3CB
SLC35B1
ZER1
CTSK
GTF2H1
DDX46
MBD3
HCFC1
TUBGCP2
DEDD
PPIE
TBCC
EDC4
TRIM29
DLG1
PITPNB
PRSS8
MAPK14
FADD
CHMP2B
ARHGEF7
CRIM1
MCRS1
HSPA13
TNKS
DLGAP4
DDX19A
HMGN4
NFX1
BLOC1S1
GDE1
TLK1
EPS8
MED14
GNAQ
PLOD2
IRF3
ATXN2
CABIN1
APPBP2
TOPBP1
ARL3
TNFAIP3
ITPR2
DPM1
SDHB
FASTK
RASA1
RNMT
UBTF
FMOD
