CCL5
TRADD
CAPNS1
PARK7
RPL11
RPL27
ABCF1
DAD1
KAT7
SNX3
CANX
SART3
SMNDC1
HNRNPD
COX4I1
TMED2
RPL37
HNRNPU
EIF3A
APP
LASP1
CSRP1
CAP1
HDLBP
LDHA
P4HB
CD63
HSPA9
DDX24
LITAF
ACADVL
MAPRE1
RPL7
PPP1CC
GPX1
SUMO3
CALU
NFE2L1
PTMA
ECH1
PAFAH1B1
PSME1
TPI1
GSTP1
ZNF207
PSMD2
SARAF
CNOT1
STRAP
UQCRC2
STAT1
TRA2B
HLA-E
PHC2
SLC3A2
TMED10
CALR
RPL8
HSBP1
SEC31A
GLUD1
ABLIM1
ALDOA
PPIB
SERP1
TSPAN3
ACTA2
TAX1BP1
SSR4
ANXA1
HNRNPH1
HADH
PSMF1
CTTN
PABPC4
PXN
KPNA2
DAP
USP9X
PFKL
LGALS1
GPX4
PSMA7
COX8A
EIF5A
ACLY
NFE2L2
MFN2
YBX3
IGFBP7
UBA2
GNAI3
SELENOW
CREG1
LGMN
SRRM1
ENO1
RAF1
COX7A2L
PSMC3
ANXA4
NDUFA5
ANP32B
ENO2
IFITM2
STAT6
SCP2
SLC9A3R1
FLOT2
COPB1
IVNS1ABP
OAZ2
NBR1
DHX15
RBM5
MGST3
COPS6
LRP10
GSS
ALDH2
VIM
EIF4E
TALDO1
JUN
PYGB
QSOX1
PPIF
PUM2
PPP1R11
PFDN1
UBE2N
ATP6V1F
CTNNB1
DUSP3
ZNHIT1
UQCRQ
DCTD
ETF1
DDX39A
SFPQ
ZC3H15
PPP4R1
COX7A2
CNN2
SND1
EIF2B1
CYB5B
FXR1
SCARB2
JAK1
PACSIN2
CNIH1
ARL1
USP14
PMPCB
EGR1
PNP
CCND3
PSMD7
PEX19
EPB41L2
EIF1B
ECE1
COX6C
MTHFD2
HEXA
CLINT1
AZIN1
ADAR
OSBP
TBCB
SH3BP5
TBC1D5
TIMM17A
CDC25B
LRRFIP1
GDI1
NR3C1
TBL1X
TOMM34
MPZL1
CYB5R3
UBE2A
UQCRC1
SEC63
SLC25A36
PRDX4
CD55
ETFA
WDR82
GNL2
ALCAM
PPP1R12B
RNF41
SETX
DELE1
MED13
KIF5B
EXT1
ST6GAL1
DYNLT1
SDHC
EXT2
PPP1R15A
LTF
TMEM184B
UBE4A
FIBP
PPFIA1
SDC4
SEC14L1
MX1
DGCR2
RALB
BRD4
COX7B
AREL1
COPS8
IFRD1
NEDD9
CELF2
PKN1
PRKCZ
SUSD6
PLOD3
LIMK2
ARL4C
LSM3
PES1
NFYC
BRD8
SIPA1L1
TDP2
GBP1
G6PD
SEM1
ATP5MPL
HSD17B10
PDAP1
NDUFA1
TAP1
ATP5PF
BCKDHA
UBE2B
COX5B
FABP5
PSMD12
MAML1
MARF1
BAG1
NUTF2
CARS
ERCC5
DNAJC7
KAT6A
DBI
AP3S1
PRSS23
LPIN2
PAPD7
COPS2
IDH3G
TMEM147
TRIB2
DNAJB2
SNRPB2
BCL7B
MLXIP
SPOCK2
IRF1
HMGCR
AIMP1
VAMP8
MYLK
SVIL
SNRPD3
MARK3
CSNK1G2
LEPROTL1
GUSB
SLC30A9
MECP2
EAPP
POLR2K
NRAS
APBB1
MARCH7
WIPF1
RBM15B
STK17A
DUSP11
FOXO1
POLR2A
EBP
GBP2
PSMD6
SYNE2
FOSB
SHOC2
NNT
PLCG1
PPP6R2
ELOA
AHR
GCC2
TRAFD1
NDUFB7
DNAJB9
RALBP1
HPRT1
PBX2
ANPEP
ADGRE5
FAM20B
PLAGL2
PHF1
SUCLA2
BIN1
NDUFV2
IL1R1
STK38
PYGL
STARD3
ILVBL
INPP5A
LYPLA1
ECD
RABGAP1L
SLPI
CYBA
PTPRN2
STK10
KLHL21
BAZ2B
FUBP1
MTIF2
DNM1L
PTK2B
TP53BP2
IMPA2
WTAP
KIAA0040
IFIT1
CFDP1
VPS35L
DOCK1
NUP98
C1orf123
CDK9
KRR1
KDM4A
FAM53B
ST3GAL5
RFK
TSPAN31
IL4R
FCGBP
PDLIM5
NPRL2
TLN1
DCTN6
MAP2K4
IRF2
DFFA
RNF44
KIAA0355
NCK2
PSD4
DHX8
PHYH
ITGB1BP1
RBBP8
EZH2
PCF11
RPS6KA1
DGKA
TBC1D4
FKBP2
GALNT3
PRPS2
LMNA
LZTR1
NELL2
MMD
KMT2B
FAM8A1
TP53I11
MME
RPP30
CTDSP2
OCRL
ATOX1
STX7
MPV17
SEC61G
RTN1
ARMC8
MED1
SORL1
SPG11
MAP3K3
PMVK
LSP1
APC
SEMA4D
LSM1
COX11
ZHX2
PCBD1
BCAT2
CSF3R
RTCA
IFIT5
ZNF516
NDUFS6
POLB
NDUFB5
PNO1
IGF1R
ZFYVE16
MAP3K11
TRIM13
COX5A
TBCA
MAN2C1
DGAT1
FMR1
PI3
DHX16
PDE4B
PUM3
DPP4
ERCC1
ITPKB
SKIV2L
PPFIBP1
TDG
RBMS1
RARA
JUND
GCA
MRPL33
NQO2
PITPNM1
IL32
PCCA
PIK3CD
IRF9
THBD
CRCP
MRPL12
MMP9
MARK2
BTN2A1
ATF6
NMI
TAZ
FCGR3B
SH3YL1
PURA
CEBPA
PTEN
MIA2
THOC1
MEIS1
RARRES3
TOPORS
FRY
PBX3
SLC5A6
P2RX4
CCNH
ELL
GNG11
CD48
FOXO3
TPST1
SIK3
SIPA1
SBNO2
MGST2
CKS2
ZBTB43
PPID
IFNAR1
RUNX3
IQCE
CEBPG
APOBEC3G
PSMC1
GMFG
CHKA
DBF4
CDK2
GPSM3
PIM2
PSMB9
RGS14
CD151
TECPR2
CREB1
TMC6
YJU2
RGS19
S100P
NAGLU
CLP1
KHSRP
CEP350
GRK5
KIF21B
FOSL1
MKLN1
SLC2A5
FOLR1
IFI44L
RAD1
CXCL1
ZNF592
AGTPBP1
NOV
PDPK1
ST6GALNAC2
RAPGEF1
PPP1R3D
SELL
PPIP5K1
CD22
N4BP1
CDK14
PLCG2
IDI1
RPS6KA5
ACP5
SPOP
S1PR1
HOMER3
NRF1
CD52
LRMP
STX8
ISG20
CCDC6
TGFBR3
IFIT3
PTGS2
NUDT1
MAL
FAS
FMNL1
NR2C1
MYB
DHRS12
TRIM21
H1FX
BTN3A3
RAD9A
MLH3
PTPN7
MAD1L1
NME3
ARHGAP25
LCK
AOC3
ICAM3
CARD8
RHOH
SLC22A18
GIT2
GNAZ
CDK5R1
DOCK4
NMT2
TGFA
VIPR1
ARL4A
STAT5B
IFT27
IKZF1
ORM1
GNE
AKAP10
CD79A
GPR162
BCAP29
SLC26A2
MAN2A1
FPR1
APBA3
NCF4
CLCN4
CSF2RB
RBBP5
PTPN4
QPCT
ADAM8
ZNF324
FANCC
MAP3K14
NMB
HCAR3
KIF20B
PARD6A
PER2
TCF7
NR3C2
POU2AF1
IL2RB
SLC15A2
FTSJ1
SLN
WAS
IL1R2
STK4
ACAT1
DAG1
FES
ZNF354A
ZNF211
MFAP3L
PIGB
HOXB2
CD3E
IRF5
CRLF3
ISG15
SIT1
TESK2
GZMA
GNLY
C5
BTK
AVIL
TYK2
ABHD2
PIP4K2A
RASGRP1
TRAF1
HOXB5
DIAPH2
SCYL3
REPS2
CTSG
C4BPA
HLA-DOB
DENND4C
CD38
ATP5F1C
ABLIM3
F8
CD8A
VPS9D1
SKAP1
IL7R
CD2
UQCRB
ARID3A
SLC6A6
IL27RA
PLCL1
IL6R
AK2
TGM3
CCDC22
TNFAIP6
SNRPA1
HCP5
PRKCH
STAT4
CD33
CD27
PTX3
ARG1
ANXA11
CLC
CA4
PLA2G7
VAV1
TNFRSF10C
PFKFB4
MICB
FMO4
HOXA4
DAPK2
IFI16
CCR7
SOCS3
PTGDR2
PIK3CG
FOLR3
ANK3
PF4
CD19
F2RL1
TBC1D9B
S1PR4
LIN7A
BMX
PLXNC1
LRRC6
ITGA2B
CYP4F3
MGAM
CD28
PHF20
CEACAM1
SLC16A5
RPGRIP1
CACNG1
IL18R1
EIF4H
P2RY14
APMAP
GZMK
FLT3
CEACAM8
CPSF4
RIPOR2
LPAR2
TNFRSF8
CD1B
MPPE1
KCNJ2
NDUFB1
CD3G
SEMA3A
TXK
ACYP2
HOXA7
MXD1
ST8SIA4
RUSC1
KLF12
CCNT1
FLT3LG
CCR6
SCAF11
CXCR2
PTK7
SLC16A6
AOC2
IL18RAP
SLC25A11
CXCR1
VAMP1
NIPBL
MAPK6
PFDN5
H2AFY
ALOX12
PTPRC
UBN1
MAPK7
TRAPPC8
ALOX15
ATP5ME
ZNF200
LTB
SH2D2A
PGLYRP1
GK
PTGES
ALG3
NFATC3
RAC2
TLR6
GZMM
MLN
SNRK
CAND1
BTN3A1
CASP5
ATP5MC3
TNFRSF9
P4HA1
CD46
ADGRE2
CUL1
SERPINI2
TNFRSF1A
GPR171
BLNK
PDIA6
BEST1
RBCK1
KLRC3
HIPK3
SP140
KLRD1
ATP6AP1
PF4V1
CD160
CYB5A
CLCC1
NCR1
TNFSF14
MAEA
GRPR
CD8B
CITED2
AMPD3
LDLRAD4
SP110
PPARD
CEACAM3
LAIR1
ZBP1
URM1
