gene,HR,HR.95L,HR.95H,pvalue
GNAI1,1.78916459529816,0.985879073021803,3.2469600346184,0.0557232752709595
age,1.0305803194046,1.01439216395226,1.0470268131863,0.000192297363610914
risk_category,0.664205710474714,0.470595916609632,0.937469302763157,0.0199529677789384
