ARPC1A
TIMP3
ELF3
INPPL1
VWF
DHRS3
EFNB2
PTPN1
FBN1
GSTA4
LOXL2
AMOTL2
BAMBI
ADGRL1
COG5
CEACAM6
PLCB4
FZD6
F2R
PHACTR2
RTN2
MMP7
POT1
LDOC1
MMP1
DLG4
PKIA
SHB
SGCE
ABCA8
PDS5B
NAP1L3
CFTR
LIF
EHD2
CRABP1
PLAG1
TNNC2
CRH
FMO5
RASGRP3
TRPC1
CLGN
PTPRB
JAKMIP2
KNG1
SLAMF1
GH2
REN
SPOCK3
NKX2-5
PDYN
IL11
TNFRSF11A
PIK3R2
KIAA0087
GABRA6
ZFP69B
DSCR4
CYP7B1
ADAM20
CNTN5
MPL
SHH
FOXD2
CACNB4
GIP
IL3
DPT
MGAT3
PSD
CYP2C18
FGF5
GABRD
ABCC6
GJA8
FOXB1
COL13A1
NTRK1
ATP6V1G1
PLPP1
AGR2
DLK1
SEPT5-GP1BB
FOXA2
SPAG1
CYP4F8
TNFSF11
TNFRSF10D
PPY
NECAB3
TRPM3
MDFIC
NUDT3
ATP9A
CLIP3
EHBP1
C16orf45
JAM3
LRRC8B
SPDEF
ABTB2
SH3BP1
PHF24
BHLHB9
TCHH
SAMD14
FAM169A
ATP10A
MNX1
SPRYD7
PWAR5
DOK5
ERC1
SHBG
CCL2
DSCC1
OR7A10
DISC1
PLEKHA2
BACE2
TMEM248
SLC48A1
CDCP1
SDAD1
SLC22A17
PACSIN3
DCHS1
OPN3
SLC24A3
PAQR6
GEMIN8
AK5
NAP1L2
CCDC88A
PORCN
DLL3
ROBO3
LRP12
MREG
DCAF16
GIPC2
ZNF334
C19orf73
MTMR10
HHLA3
PQLC2
FTCD
PPP1R9A
LOC100506571
KCNIP1
OR10C1
OR3A1
HTR1F
UBL4A
NAALAD2
