PLD1
CCND2
PLS3
SGTA
HMCES
SCARB1
BNIP3
SEC24C
PCOLCE
SERPINE1
PEX11B
SLC39A7
AXL
SFSWAP
MUT
CAV1
SSSCA1
NECTIN2
AKAP11
S100A4
DYNLT3
CAV2
TMEM11
TPBG
OTUD4
EPHA2
KLF9
GPRC5B
FZD7
PCYOX1
CFI
PALM
NFKBIE
KDELR3
SFRP4
CD37
SKI
AK4
LIMK1
SLC16A2
EEF1A2
DSC2
CHAF1B
ZFYVE9
HPN
EMP2
GPC4
GPD1
CIB2
SGCB
AP1S1
SURF2
CLDN10
ZBTB24
MDFI
CBR3
PDGFA
PLAU
GJB3
PCDH7
HAAO
DUSP9
TCP11L1
TUFT1
WASL
PDE4DIP
ITPKA
TAF13
ITGA9
SOCS6
S100A3
RAC3
EGR3
RIMS2
ZNF222
ADH1C
SMAD9
FGF9
SMARCB1
ENDOU
F11
TRH
SIX3
NTF3
ALOX15B
WNT11
STATH
RASL10A
GCKR
ICAM5
POU4F1
ATP2B3
CSRP2
GIF
HAS1
GAL
ROS1
CRYGA
KCNC3
S100A5
ID3
SEZ6L
TCL6
CDC14B
HERC4
EDRF1
TRIO
ADRB1
DLX4
RAX
IFNA10
UTF1
FSTL1
ID1
ALDH7A1
CRIP2
SEPT8
MDK
REG1A
KHDRBS3
INHA
GABPA
KLHL25
C8G
SCTR
TNPO2
NKX2-1
ID2B
FOLH1B
PTGDS
TSSK1B
PCDHGA1
GIGYF2
MYO1D
TUBB4A
NAB2
LRP4
PXDC1
NPTXR
PDE8B
SHC2
DOCK3
COL2A1
OLIG2
GRIK2
THSD7A
SST
LIAS
U2AF2
ATXN7L1
COL8A1
DIXDC1
ZNF423
LRP5L
ADAMTS3
MTUS2
ASPHD1
LINC01140
ZNF280B
DNM1
DIRAS3
AKAP8L
NCLN
ZXDB
TAOK1
LINC02249
TNXB
IL23A
PRAMEF11
ENAH
TRIB3
ATG101
MUL1
HERC1
TNFRSF12A
MICAL1
GTF2IRD1
TMEM242
ACTR8
SEZ6L2
DVL2
GALNT12
GPATCH3
FAM57A
TMEM168
METRN
SRR
JAM2
ZNF408
MED31
EPS8L3
PAK6
SNAI1
ARHGEF28
PRR7
GOLGA2P5
EPHX3
GDF3
GID4
HAUS2
MRPS18C
TBC1D19
TRIM17
TPSG1
NDST3
SNTG2
ZSCAN2
LIM2
ARNTL2
GPHN
BEGAIN
GMEB1
STXBP6
FIP1L1
TCF7L1
KCNQ4
WNT16
FRS2
NPBWR2
MOS
OR1G1
PLA2G2E
OR1A2
HIST3H2A
ASB6
MAP6D1
MICALL1
WHRN
EMX2
HNRNPUL2
TMEM231
