EPAS1
VCL
TRAK1
RHEB
CALD1
ELAC2
PDGFRB
GAK
TACSTD2
TRIM2
BCAM
ARFRP1
MAPK9
VPS11
HES1
MTA2
TERF1
CUL5
ADIRF
PROCR
MAPT
WASF3
P3H4
RPS6KB1
S100A2
SORBS2
STK11
GOLIM4
AGA
TRIM24
GAS1
REST
SEC14L2
COL17A1
HSD17B2
PDPN
NEURL1
DDX6
TRIM3
DYRK1B
MAMLD1
PLEKHA6
DDR2
TNNI1
ALDH1L1
CKMT2
PSCA
ARHGAP44
GSTT2
MST1R
SCNN1B
CRYM
CYP17A1
VIL1
EXOG
DNASE1L3
KISS1
C1QL1
B9D1
GAL3ST1
PTPRD
WISP2
APOC3
HSPB2
GH1
FABP1
KCNN3
CEL
GRIN1
SLC4A3
CSHL1
FOXG1
FZD5
CELA3B
APOBEC2
CETP
KCNN1
NRG1
TIMP4
DLG2
LY6D
CTRC
RYR3
CNMD
GUCY2C
CRLF1
CDH15
SHC3
MSI1
MYBPC2
TIAM1
AJAP1
SIX2
CYTH3
SYCP2
GDF5
NPAS1
NPPB
ADCY8
ADRB3
PAGE1
C19orf57
CHRND
PRKN
ERN1
CDKL2
CELA2B
POU3F2
PHF2
CITED1
MYOZ2
DNASE1L2
GSTT4
CHRNE
ZNF343
SGCG
GABRB2
CAMKK2
PPP1R2C
TFDP3
CELP
SCN5A
DNAJB5
LAIR2
CRYGC
SLC13A2
HCN2
SLC7A2
MUSK
FZD9
ACOX1
CRYBB3
CABP2
CDKL1
FCN2
POU1F1
AVP
CCL22
NVL
S100G
SRY
CCL27
NEUROG3
GRK1
TTLL5
SEMA6C
AVPR2
MYO7A
CAV3
SLIT1
BMP3
EFNA2
AVPR1B
C8orf17
BMP10
GPR50
ANXA13
LHX5
CACNA1F
NPY2R
LINC01565
HIC1
SOX21
PCDHB11
AFDN
KCNE1
OR2F1
SERPINA2
ANP32C
POU4F3
MC2R
WNT4
KRT7
NFIB
AZGP1
CA11
ACE
HOXB13
NRXN1
MSC
CSDC2
CARD10
SLC12A5
ARC
PRM2
KCNK2
CPNE6
FABP6
BMPR1B
GCGR
CASR
SPPL2B
SPAG11A
CDH20
CCKAR
LBP
MOCS1
CADM3
PCDHGA3
GPR107
EXOC7
SULF1
DESI2
TNS2
SCRIB
PAXIP1
MAPK8IP3
ROBO1
SYP
TMEM30B
RND2
PAMR1
PPP1R37
SLC25A42
SFTPD
MUC5AC
LINC00950
GFRA3
ODF1
SSTR3
GHRH
SLURP1
IVL
PHOX2A
MEGF8
FRMPD4
CNTNAP2
IGSF9B
EMX1
CBARP
EFR3B
ETV2
ANKRD53
CBX2
LOC100129503
SPEF1
SP3P
IGLV@
PRODH2
TAF1
MKRN2
AMACR
CRX
KAZALD1
RAB11B
CXCL14
PTMS
TMEM254
VPS54
APTX
DHX35
CENPBD1P1
RNF43
P3H2
EPS8L1
TXNL4B
TMEM59L
PLEKHA4
FASTKD3
CACFD1
FKBP10
C22orf46
MPP5
ZNF358
OSGIN1
TRPV4
CPNE7
CBX8
SLC35F6
BARX1
ZNF432
MORN1
CTC-338M12.4
CALY
CLIP4
DDX25
TBR1
GSTCD
TUBA8
PPP1R14D
RSPH14
PRSS50
PYY2
FLJ13224
RBM12B-AS1
MYO15A
CNGB3
PLA2G2D
VAX2
FNDC8
CDKN2A-DT
IGF2-AS
SHANK1
KLK14
PRR36
CARD14
C16orf70
ZCWPW1
CRCT1
KCNQ1DN
SLC52A1
UTS2
CTNNA3
ADGRF1
PNMA3
TEX14
NMRK2
HTR3B
LOC100131532
ERVK3-2
ST8SIA2
CIDEA
CHRM2
FOXP3
HOXC8
NKX6-1
PSPN
IL36A
PCDHB12
PCDHB3
OR3A3
TAS2R3
BTNL2
KLK15
NOL3
GDF15
DTX3
SDHAF1
IRGQ
DENND2A
SYN1
EMC10
