ITPR3
BGN
RAB5B
ADIPOR2
HSD17B4
GALNT1
B4GALT1
PGM1
LAMA4
CYB5R1
UBE2K
SERPINA3
PHKB
WBP1L
C1QB
MTSS1
TRAPPC12
TBP
ABCB6
IGFBP5
GTF2H4
COBLL1
SLC25A20
LMOD1
DMXL1
TNK2
IGFBP6
ACTN2
ACTA1
CNN1
CELSR2
MAP3K4
RAB32
GNA11
FGD1
CP
IL6ST
GABRP
NCAPH2
SLC6A1
CAPN5
IL6
GALK2
STRN
KALRN
MDM4
FXYD2
APOM
DDX18
PRKD1
FOXJ1
SFTPC
REL
PLA2G5
CPA2
OPCML
MAGEB2
TGM4
GCM1
HSD3B2
ZNF205
NTRK3
GTF2A1
PASK
GPR176
APBA1
F2RL2
AGFG2
TRPV6
DAO
PPP1R3A
CH25H
CRYBA1
CACNB1
AKAP4
CRISP1
SLC6A13
SLC15A1
TCF15
BRS3
COLEC10
NR2E1
TCP10
LRP2BP
ARMCX4
PTK2
KLHL18
GNRH1
CLEC4M
NTN1
TACR3
MAS1
PDE1A
CACNA1E
RRAS2
NEUROG1
KRTAP5-8
S1PR2
CNTF
ACTN1
ATP6V1D
RPS28
CYFIP1
BICD2
PWP2
RIPK2
TOR1B
ADH1B
OSBPL3
FBXW2
TEF
RGS6
FLT4
RASSF9
SLC22A6
POFUT1
TRIM10
GBAP1
NRP2
ZNF638
SERPINB13
UGT2B28
FMO2
PCDHA5
PCDHGA9
ITGB1
MTUS1
PLEKHM2
ANKRD17
AGRN
NEK9
SMURF1
SP3
SETD1A
SOSTDC1
NFKBIB
ALOX12P2
RFPL3S
RLN2
TNFRSF21
KLHL4
HOXD11
ZKSCAN1
FSTL4
SMG6
SLC26A10
MED24
KCNV1
LINC01136
MYH7B
LOC101927051
HTR7P1
NCKIPSD
ADAM3A
CYSLTR1
PRR14L
KRTAP4-7
GABRG3
HOMER2
ARPIN
SCUBE3
CNPY4
VPS35
PERP
TM9SF3
SNX5
EPS15
CNOT6
TMEM165
MFSD1
SMAP1
SLC35A5
RAB17
SLC30A5
EDN1
GALNT11
CD248
SCUBE2
RPRM
LAMC3
KLHL36
CA14
ALG6
HPCAL4
SPSB1
FZD10
ANGPTL3
AICDA
TIAM2
GBA3
MAGIX
PDCD1LG2
SLC35F5
NSUN7
DLK2
SMAD5-AS1
RNF17
CATSPERB
SLCO1C1
APOL5
KLHL11
IDI2-AS1
PRDM14
LINC00652
TP73
LPAR3
GABRQ
C6orf15
CHRNA9
DRICH1
GDF2
MEPE
FBXO24
ZNF155
CHRM4
PLA2G2F
CCL24
P2RY4
LRTM1
HSPB8
ADSS
RNF126P1
