DCAF8
IRF6
CHSY1
THBS2
CDH3
COL5A1
RCAN2
PLXNA3
LGALS4
LOX
REEP1
BSN
C1orf61
KHK
SPINK5
GTPBP1
GLRB
TFAP2C
AKAP6
LRRC17
CALB2
LRP6
MYOM1
TYRP1
POMC
KLK13
LRIG2
FASTKD2
NPY
ANKRD1
PI4KB
DPF1
C2orf27A
HTR2B
ZNF571
CLCN5
GPRIN2
PTH2R
FGF4
L3MBTL1
PAEP
HIST1H4E
SLC17A4
PAX9
KRT75
RGR
PLXNA2
TP63
ADAM18
DRP2
KRT38
CDH9
PSG9
AIF1
KRT76
RFPL3
HIST1H4D
CYP2C8
IFNB1
MSR1
MECOM
FRMD4A
HIST1H3G
HIST1H2BB
HIST1H1E
HIST1H2AB
HIST1H3A
HIST1H3C
RGS5
PNMA2
CCL18
BBS9
CLCA1
ATP8A1
MAPK8
SPAM1
RASGRF1
ZNF493
TYRO3
MFSD5
CLBA1
NENF
KRT81
IQSEC3
RPS8
DNAH17
HIST1H2BJ
HIST1H3I
POU5F1B
HIST1H1D
HIST1H2BO
HIST1H2AL
HIST1H4L
PAK3
MAGEA6
TWISTNB
RIMBP2
LRCH1
RBM34
TMPRSS6
TRPC2
IHH
GRM8
ZNF10
OR2B6
HCG18
GJB4
PRB4
LOC101929550
CTAGE11P
MIR3916
TFG
NAXD
RINT1
FERMT1
DNAJC12
HEATR6
STAG3L4
GRHL2
WDR25
CASQ1
SUGCT
PLPPR1
VTCN1
TTC23
ZNF14
DZANK1
BBOF1
ZNF286A
FSCN3
GPR75
GUCY1B2
SERPINA10
PSORS1C2
NOX5
KCNH4
IL25
C1QTNF3
NIPSNAP3B
LENEP
CHST5
PCDHB6
CLDN17
TSNAXIP1
