RPL19
HNRNPK
NCOR1
RERE
THBS1
DDX23
INSIG1
TJP1
GOLGA3
WWTR1
VPS72
SNAP25
CRMP1
CTCF
SMAD4
GMFB
GPC1
CREBZF
TXNDC9
KIF2A
KIF5C
GNL1
AP1G1
STC2
NDUFB6
FGFR2
PLA2G2A
GPKOW
VSNL1
TCN2
COL7A1
CDO1
PSEN2
EDNRB
CTIF
PCGF3
FGFR4
HMGCS2
CGA
PARM1
NFE2L3
STX1A
VSIG4
B3GNT3
PTPRN
ADGRB2
GJB1
TFF1
VWA5A
USH1C
NCAN
GNG4
AMPH
FGL1
KIF5A
ACVR2A
RCE1
AGTR1
PFDN4
SMAD3
CPB1
HOXD4
PAGE4
VGF
SLC44A4
HOXD9
ACAN
COMP
ZMYND10
CNTFR
STAC
CYP1A1
ITIH3
ENTPD5
ITGAM
CCK
CPA4
ADORA2B
NFATC4
MT3
MERTK
ASPA
ELAVL4
SPN
ISL1
AFF2
BHMT
SCML2
ENTPD3
RCVRN
CILP
SPINK1
MAP3K13
GPLD1
MICAL2
APCS
PRM1
SERPINA7
NPFF
SMCP
CCL13
ABL2
DBH
LAG3
TBXT
MRAS
MIA
MAGEC1
PRPH2
TYR
KCNJ10
MYH8
CHRNA4
HOXC5
MAFK
RDH16
TMSB4Y
ERBB4
NAT2
DLEC1
SPAG8
AFM
FBP2
NRG2
MATN1
NFIC
TGFBR1
CCL25
CST4
ZPBP
MASP2
SLC6A11
CSF1
SLC10A2
GAB1
ADCYAP1R1
APOBEC1
CDH11
AGRP
ZIC3
CETN1
SPINK4
CDON
MITF
MEP1B
FEV
RPL23AP32
F7
PDE1C
DOC2B
CDK13
MBP
PZP
TEX28
PLSCR2
BTN1A1
CYP4A11
SLC22A14
SLC22A2
NKX2-8
P2RY1
RHPN1-AS1
MOGAT2
ATP4B
ABCG4
KRT85
ALX3
ZFHX2
C22orf24
LPAL2
RAB1A
LALBA
CHRNA2
CRHR2
CCL17
NUDT13
ART1
ZFX
PFKFB2
ZP2
CNR1
KIF25-AS1
MPP2
CHP1
TBC1D29
CCL7
PSG6
GAST
FAT2
SLC34A1
IFNA14
AMELY
DMBT1
SRP72
CDRT1
OR7A5
EVI5
AKAP13
CSH1
MID2
NR2E3
FGF6
TANC2
GJC1
GRM2
IKZF4
HIST1H1A
DRD5
TLX3
OR5I1
GPR15
BCL2L11
CST2
KCNA10
SNCG
XRCC5
VAPA
RBM10
MCAM
SEC23IP
KLF5
TUSC3
METTL3
LAMB3
CRYAB
BNIP2
EFHD1
FAM3A
RNF113A
BMP7
MXRA5
PLD2
MFAP5
CORO2B
SRGAP3
PHLDA2
NFIX
COLGALT2
BMPR2
MAP2
ZNF589
CCL19
MYOC
ERCC4
SEC14L5
GPR35
HECW1
BARX2
KCNJ6
CDH8
TTC39A
SOAT2
CALCA
ONECUT1
HTR1B
RAB11FIP5
PROP1
FUT5
GGTLC1
TRHR
IGH
LAT2
PCDHGB5
MYO1A
POGZ
INTS1
PIAS4
MAPK8IP1
C2orf72
TICAM1
CDR2L
FEM1C
ZC3H4
DHODH
PARVA
AGFG1
CHD5
MTSS1L
TPM3
PAX1
FBXL2
ETV3
ABO
SSTR5
LILRP2
SMR3A
SOX3
CLDN9
COL4A3
N4BP3
BRINP2
THAP9-AS1
PIK3C2G
YOD1
FMO6P
WFDC8
SPATA31C2
KIAA1614
ZFR2
OR7E24
PHF7
TSC2
RBFADN
DNAH2
ZNF277
LOC100130331
MYH7
RRP12
TMEM92-AS1
ZNF287
DKFZP434A062
MAG
PDSS2
MUC8
IFT122
GBX1
RDH11
LOC100289473
MT4
LINC01482
MYH14
GGA1
WDR6
WRNIP1
FYCO1
MLPH
CAMK2N1
WDR59
LMCD1
CHMP6
C14orf132
TTC31
INTS8
LETM1
HOXC10
TUT1
CUTC
COL5A3
LYVE1
GEMIN7
DUSP26
THSD4
FSD1
AFF4
FLRT3
IL17RB
FBXO2
SYNDIG1
FLVCR2
HIF3A
CLN8
FA2H
COPZ2
CCDC28B
ZNF606
TMEM35A
PLAC1
GPATCH2L
CDHR5
LATS1
HDAC11
CCDC87
CABYR
L1TD1
OLAH
SOX17
PEAK1
LONRF3
PRX
STAB2
SLC7A9
HAND1
LGALS14
CNNM1
CDHR2
AP4E1
SLC45A2
IQCA1
CLDN16
NGB
PDE7B
UBQLN3
DNAJC22
BIRC7
SLC16A8
RNF19A
VRTN
MMP26
CYP2W1
CCDC170
ZNF532
POMT2
SLC9A5
HEYL
FLJ20712
ADAMTS7
C16orf72
CCDC7
KCNJ14
SEMA6B
PADI3
GREM2
PRDM12
GFM1
SPACA1
CAB39L
PMFBP1
TEX13B
PKD2L1
PKD2L2
CT55
RIPK4
B3GNT4
RNF208
ULBP2
GPR27
PCDHB8
KCNIP2
ULBP1
CHRNG
TNFSF18
FGF17
CER1
OR51E2
TAS2R16
OR6A2
DSPP
NYX
WIZ
RPS2
TBC1D12
EMILIN2
CEMP1
POLR2J4
TLE6
DBNDD1
ZDHHC8P1
PCOTH
ALS2CL
FBXO31
NUS1P3
