HTRA1
SRSF1
LAMC2
ST5
TNFAIP2
LPP
TXNL4A
KIF3C
PSMD5
SCNN1A
DDX28
TAB1
HEPH
ZBTB40
CA12
LMO3
EVPL
DKK1
ITGB3
MUC2
LTBP2
KLK6
TAGLN3
SHROOM2
ITIH2
FGFBP1
GFPT2
TMPRSS2
SOD3
KCNJ8
RAMP3
CSPG5
DPYSL4
SCN1B
RRAGB
CR2
PYGM
PSG7
WNT2
PCBP3
TNNT3
SLC7A4
BDKRB2
FOXF1
TGM1
HABP2
MCC
ZNF507
PRKCE
MYF6
NR0B2
MASP1
GRIN2A
PPEF1
KCNQ3
CNR2
CST6
CBL
PDE6A
SP4
TEK
NTNG1
LMO1
MGAT5
TULP2
ITGA10
CDH4
CA6
GP9
B3GALT5
TNR
SLC6A9
CD80
GPR19
ISLR
OTC
KCNA4
CCL16
ATP12A
HTR1D
HTR1E
IL10
HTR4
WNT8B
SSX3
CYP2A7
ESRRB
SLC5A2
REG1CP
EPB41
AKAP5
ADH1A
FLNC
IL5RA
KRT2
LCN1
PI15
VPS45
MCF2
GRM6
CAPN9
DRC3
CHST3
NR5A2
ERVH-4
DMC1
PTN
ABCC9
SSTR1
OR7C2
OR10H3
OR2H2
TSPAN6
APLP1
AMOT
RGL1
EPHB2
ITCH
TGFB3
SOX10
ZC3H13
MYL1
SLIT2
UPK1B
SEMA7A
ANXA9
C6
TRIM15
ITPK1
CSF2
NEUROD2
RECQL5
TPO
CCKBR
LGR5
TTPA
RGN
SCN11A
ZEB1
KCNG1
AURKC
PCSK6
KIR2DL5A
RAB36
MGC2889
CYP3A7-CYP3A51P
AVL9
CAMSAP2
SNAI2
KRT4
SVEP1
APLNR
LOC103344931
HIPK2
PRPH
COL11A2
FAM189A2
ARID4B
KRTAP5-9
ADCY10
GPR12
CALCB
ALPK3
KAT8
DDX51
ADTRP
CAMK1G
ERGIC3
SLC8A2
SPINT3
CFAP74
MTMR7
ZNF280A
SEC14L3
GRIP2
HTR3A
LOC101928278
VPS33B
PHLDA3
STX17
TMEM206
FNDC4
HPS6
RASL11B
FKBPL
SEMA4G
SUSD4
FBXO38
CXorf36
ATP8A2
HHAT
HS3ST2
CLEC1A
SLC6A16
SLC13A4
COLEC11
ZMAT4
ECEL1
PCID2
EDAR
C10orf95
EFCAB1
BMP8A
ADAMTS13
HAO1
HHIPL2
KLHL29
SNTG1
NPHS2
CD207
CHST4
HRH3
SLC28A3
MCOLN3
ACTL7A
FAM106A
LRRC31
ELF5
LUZP4
RDH8
NODAL
RPS6KA6
LOC51145
MS4A5
ADAMTS6
SLC24A2
CCDC177
PGLYRP4
EPB41L5
GPR63
ARHGAP24
EPS15L1
NOX3
PDE11A
AMBN
ARHGEF38
PRDM13
KLF15
GPR52
OR10J1
OR1A1
CACNG5
TEX13A
OR12D3
XCR1
UBA52
CASKIN2
NOMO2
MRPL41
NXPH4
