PTPRF
MARCKSL1
DHCR24
CD59
NMT1
PSMC4
NFKBIA
WSB2
COL3A1
ATMIN
ZFR
PSRC1
FARP1
CPNE3
VEZF1
SRPK1
IGSF3
ERBB3
S100A13
NRIP1
SLC1A3
ZBED1
DAPK1
GATM
POLG
IQGAP2
CYP19A1
COL15A1
CCS
FEZ1
NFIL3
FCHSD2
IGF2BP3
SCG5
PTPN3
DUSP4
TPM2
MT1X
F3
LRP3
TTF2
ARHGAP11A
DPH2
COX7A1
CGRRF1
SLC29A2
MT1G
THBS4
PSG5
STK17B
APOH
CDK20
LRP8
DBT
ZNF821
WDR76
HRH1
PRRG2
PRIM2
PCDH17
NCAM2
PHTF1
OSMR
SIX1
ARSE
COL10A1
CLTCL1
CA1
ADAM28
SERPINB8
RAB33A
ZNF91
NELL1
CPM
KLK8
CLPS
RLBP1
UNC5C
PAX2
GPR4
CPN1
CROCC
ZNF536
RORC
RORB
MT1H
RIBC2
XIAP
WISP1
NGF
GABRG2
NKX2-2
TAT
DCC
ADGRL2
PHOX2B
HSF2BP
KRT32
NTRK2
NR1I2
SIX6
CD209
NOS1
SLC1A7
MEIS2
CA7
CMKLR1
FGFR1
UPK2
TGM5
IFNA4
CBFA2T3
PAPOLB
BPY2
SLC12A3
KCNJ4
IFNA16
CLDN6
KCNA1
PPARG
FLNB
VDAC3
GGA2
CADM1
PIM1
CBR1
HMGN3
RRS1
KCNMB1
VILL
ART3
DEFB1
NPY6R
CCL23
HECTD4
DSTNP2
MT1HL1
HYAL3
ZKSCAN3
RBFOX2
LSM14A
MT2A
MT1E
WWC1
SFMBT1
SATB2
COL9A2
ZKSCAN4
MT1F
INPP5J
HOMER1
TSSK2
ATP1A3
GPR20
SERPINB10
HIST1H3E
ZBTB33
TNN
STXBP5L
ERV9-1
LINC00563
PIWIL2
PDCD6IP
YPEL5
PREB
METTL9
KLHDC2
ASNSD1
SLC38A1
NAV2
BEX1
DARS2
RNF38
NOL10
CHCHD7
MTO1
CCDC51
DUSP22
SOBP
INAVA
MMRN2
LIPG
RBKS
CHAC1
TRPM4
ZNF322
GAREM1
BORCS6
LAMP5
HUNK
MS4A4A
MED18
STAG3
TTC26
DENND1A
ZFHX4
TRHDE
HRASLS
EFCC1
KCNE5
GNA14
NXF3
ANO2
CDH10
KCNN2
NANOG
C8orf44
CYB5R2
GREB1L
PSORS1C1
TSKS
CCR10
ZNF770
TSGA10
LINC00216
SAGE1
PSAT1
COLEC12
PUS7L
APOLD1
KCNMB2
IL1RAPL2
DCSTAMP
MYO3A
TEX15
PIMREG
STAP2
WDR4
ADGRA2
