ARHGAP35
CTR9
PPP2R5A
VAPB
NOL7
SOX9
RBP1
TG
SEMA3C
SLIT3
ARHGAP29
PCDH1
FILIP1L
NF1
COL16A1
VPS33A
NPTX1
DIEXF
CPS1
FST
SPRR1B
AOX1
GLI3
CD3EAP
FBXO46
PCP4
ROR2
SH3GL3
FABP3
CYP3A5
PTPRR
ZNF35
ADAMDEC1
ABCC2
ZNF747
GPR17
HRG
ZNF239
PRKCG
CDH18
NEUROD1
TRDMT1
OPHN1
GNAL
FOXF2
CDX1
ZNF365
RHO
ABAT
LIPC
RENBP
KRT31
PNLIPRP1
GRTP1
ECE2
BFSP1
CYP2B6
FCER2
ACRV1
HTN3
CES1P1
TBX19
ZNF253
MMP16
VPS50
CDH12
LHCGR
VCX2
EFNA5
MAGEA1
EYA4
NMBR
SLC30A4
RS1
EDIL3
UGT2B15
DEFA5
SLCO4C1
CBFA2T2
TMPRSS15
KRT37
POU3F4
BAGE
POU4F2
IFNW1
SPIN2A
CST5
IL5
PAX7
PSG2
KRT9
PSG1
IFNA7
MEFV
CABP1
ELAVL2
OR7A17
C1S
PCBP4
SLC12A4
NSL1
PLAA
SFTPB
PMEL
FAP
CHRNA3
MPZ
MYT1
SEPT4
GNAT2
LPO
ANXA2P1
GPR45
ICOSLG
CLIC5
TJP3
PLPPR4
MUC6
CLDN18
ASIP
TSHB
CYP11B2
DDN
ZNF528
ZNF550
DNAAF1
GK2
SORCS3
ACVR2B-AS1
DUOX1
NUDT7
ARFGEF2
LINC01361
RAB3GAP2
LINC00663
LRRC37BP1
GARNL3
LINC00939
DGKB
POM121L2
FAM186A
OR7C1
ADAM5
TSPY1
UBR7
NRSN2
PGP
DCUN1D1
FZD4
PPP1R13L
PKNOX2
SULT4A1
ARHGAP10
C4orf19
CPEB1
TOR4A
ARMC9
PEX5L
TRIM36
NUDT11
C17orf53
XPNPEP3
SPTBN5
MBD5
EIF5A2
SCD5
LINC00312
OXCT2
BNC2
SAP130
CALML5
PRRG3
COQ8B
PRDM11
DAB1
FOXE3
IL1RAPL1
SLC5A7
MIP
TBRG4
STMN4
BCL2L14
GSG1
TAS2R4
TAAR2
TAS2R13
PLXNA1
PCDHGB6
MVB12B
RPUSD2
FAM66D
RPL23AP53
SAA3P
ZNF480
